unit	sha	identity	file	path	lens	hypothesis	evidence	result	type
A6-001	265504f6	r26:InvalidateFallbackAnchor:ordering	r26	InvalidateFallbackAnchor	anchor-state	ordering	reviewed recenter wrapper ordering/state guards and fail-closed returns	PASS	falsification
A6-002	265504f6	r26:QueueApplicationRecenter:ordering	r26	QueueApplicationRecenter	recenter-state	ordering	reviewed recenter wrapper ordering/state guards and fail-closed returns	PASS	architecture
A6-003	265504f6	r26:ApplicationRecenterAppliedForPendingGameRequest:ordering	r26	ApplicationRecenterAppliedForPendingGameRequest	generation-gate	ordering	reviewed recenter wrapper ordering/state guards and fail-closed returns	PASS	cross-trace
A6-004	265504f6	r26:ApplyPendingApplicationRecenter:ordering	r26	ApplyPendingApplicationRecenter	space-lifetime	ordering	reviewed recenter wrapper ordering/state guards and fail-closed returns	PASS	falsification
A6-005	265504f6	r26:EnsureFallbackAnchor:ordering	r26	EnsureFallbackAnchor	fallback-lifetime	ordering	reviewed recenter wrapper ordering/state guards and fail-closed returns	PASS	architecture
A6-006	265504f6	r26:TrySubmitAnchoredStartupFallback:ordering	r26	TrySubmitAnchoredStartupFallback	fallback-ownership	ordering	reviewed recenter wrapper ordering/state guards and fail-closed returns	PASS	cross-trace
A6-007	265504f6	r26:WriteSyntheticLocalChange:ordering	r26	WriteSyntheticLocalChange	event-state	ordering	reviewed recenter wrapper ordering/state guards and fail-closed returns	PASS	falsification
A6-008	265504f6	r26:PollEvent:ordering	r26	PollEvent	event-lifecycle	ordering	reviewed recenter wrapper ordering/state guards and fail-closed returns	PASS	architecture
A6-009	265504f6	r26:IncomingPath:ordering	r26	IncomingPath	submission-classification	ordering	reviewed recenter wrapper ordering/state guards and fail-closed returns	PASS	cross-trace
A6-010	265504f6	r26:CompletePendingGameRequestAfterVisibleProjection:ordering	r26	CompletePendingGameRequestAfterVisibleProjection	request-completion	ordering	reviewed recenter wrapper ordering/state guards and fail-closed returns	PASS	falsification
A6-011	265504f6	r26:EndFrame:ordering	r26	EndFrame	submission-lifecycle	ordering	reviewed recenter wrapper ordering/state guards and fail-closed returns	PASS	architecture
A6-012	265504f6	r32:ReleasePending:ordering	r32	ReleasePending	query-lifetime	ordering	reviewed generation-aware EVENT ACK state, safe fallback and teardown	PASS	cross-trace
A6-013	265504f6	r32:ObserveGeneration:ordering	r32	ObserveGeneration	generation-state	ordering	reviewed generation-aware EVENT ACK state, safe fallback and teardown	PASS	falsification
A6-014	265504f6	r32:EnsureFence:ordering	r32	EnsureFence	query-creation	ordering	reviewed generation-aware EVENT ACK state, safe fallback and teardown	PASS	architecture
A6-015	265504f6	r32:PollCompletedAcks:ordering	r32	PollCompletedAcks	ack-lifetime	ordering	reviewed generation-aware EVENT ACK state, safe fallback and teardown	PASS	cross-trace
A6-016	265504f6	r32:ArmConsumptionFence:ordering	r32	ArmConsumptionFence	sync-ownership	ordering	reviewed generation-aware EVENT ACK state, safe fallback and teardown	PASS	falsification
A6-017	265504f6	r32:MetadataValid:ordering	r32	MetadataValid	metadata-gate	ordering	reviewed generation-aware EVENT ACK state, safe fallback and teardown	PASS	architecture
A6-018	265504f6	r32:CanFastSubmit:ordering	r32	CanFastSubmit	fallback-gate	ordering	reviewed generation-aware EVENT ACK state, safe fallback and teardown	PASS	cross-trace
A6-019	265504f6	r32:CapturePerfSnapshot:ordering	r32	CapturePerfSnapshot	telemetry-state	ordering	reviewed generation-aware EVENT ACK state, safe fallback and teardown	PASS	falsification
A6-020	265504f6	r32:MaybeLogPerf:ordering	r32	MaybeLogPerf	telemetry-lifetime	ordering	reviewed generation-aware EVENT ACK state, safe fallback and teardown	PASS	architecture
A6-021	265504f6	r32:EndFrame:ordering	r32	EndFrame	submission-sync	ordering	reviewed generation-aware EVENT ACK state, safe fallback and teardown	PASS	cross-trace
A6-022	265504f6	r32:DestroySession:ordering	r32	DestroySession	session-teardown	ordering	reviewed generation-aware EVENT ACK state, safe fallback and teardown	PASS	falsification
A6-023	265504f6	main:R23UsableGameplayBootstrapFrame:ordering	main	R23UsableGameplayBootstrapFrame	bootstrap-gate	ordering	reviewed host loop state transition, identity validation and cleanup ordering	PASS	architecture
A6-024	265504f6	main:R23ReadFinalCounters:ordering	main	R23ReadFinalCounters	fallback-observation	ordering	reviewed host loop state transition, identity validation and cleanup ordering	PASS	cross-trace
A6-025	265504f6	main:R23ActualFinalKind:ordering	main	R23ActualFinalKind	submission-observation	ordering	reviewed host loop state transition, identity validation and cleanup ordering	PASS	falsification
A6-026	265504f6	main:R23MetricWindow::Add:ordering	main	R23MetricWindow::Add	telemetry-state	ordering	reviewed host loop state transition, identity validation and cleanup ordering	PASS	architecture
A6-027	265504f6	main:R23MetricWindow::Reset:ordering	main	R23MetricWindow::Reset	telemetry-reset	ordering	reviewed host loop state transition, identity validation and cleanup ordering	PASS	cross-trace
A6-028	265504f6	main:R23PipelineWindow::Note:ordering	main	R23PipelineWindow::Note	telemetry-ownership	ordering	reviewed host loop state transition, identity validation and cleanup ordering	PASS	falsification
A6-029	265504f6	main:R23ReleaseDirectHoldResources:ordering	main	R23ReleaseDirectHoldResources	resource-lifetime	ordering	reviewed host loop state transition, identity validation and cleanup ordering	PASS	architecture
A6-030	265504f6	main:R23InvalidateDirectHold:ordering	main	R23InvalidateDirectHold	identity-invalidation	ordering	reviewed host loop state transition, identity validation and cleanup ordering	PASS	cross-trace
A6-031	265504f6	main:R37FrameIdBefore:ordering	main	R37FrameIdBefore	wraparound-order	ordering	reviewed host loop state transition, identity validation and cleanup ordering	PASS	falsification
A6-032	265504f6	main:R23FrameUnchanged:ordering	main	R23FrameUnchanged	frame-atomicity	ordering	reviewed host loop state transition, identity validation and cleanup ordering	PASS	architecture
A6-033	265504f6	main:R23ValidateDirectResourceSize:ordering	main	R23ValidateDirectResourceSize	resource-identity	ordering	reviewed host loop state transition, identity validation and cleanup ordering	PASS	cross-trace
A6-034	265504f6	main:R23InvalidateDirect:ordering	main	R23InvalidateDirect	failure-atomicity	ordering	reviewed host loop state transition, identity validation and cleanup ordering	PASS	falsification
A6-035	265504f6	main:R23CommitDirectAfterValidation:ordering	main	R23CommitDirectAfterValidation	commit-atomicity	ordering	reviewed host loop state transition, identity validation and cleanup ordering	PASS	architecture
A6-036	265504f6	main:R23CommitClassicAfterValidation:ordering	main	R23CommitClassicAfterValidation	fallback-ownership	ordering	reviewed host loop state transition, identity validation and cleanup ordering	PASS	cross-trace
A6-037	265504f6	main:R23RenderProjection:ordering	main	R23RenderProjection	projection-lifetime	ordering	reviewed host loop state transition, identity validation and cleanup ordering	PASS	falsification
A6-038	265504f6	main:R35CadenceHost::~R35CadenceHost:ordering	main	R35CadenceHost::~R35CadenceHost	ipc-teardown	ordering	reviewed host loop state transition, identity validation and cleanup ordering	PASS	architecture
A6-039	265504f6	main:R35CadenceHost::SetRunning:ordering	main	R35CadenceHost::SetRunning	state-transition	ordering	reviewed host loop state transition, identity validation and cleanup ordering	PASS	cross-trace
A6-040	265504f6	main:R35CadenceHost::UpdateActiveRenderHz:ordering	main	R35CadenceHost::UpdateActiveRenderHz	config-transition	ordering	reviewed host loop state transition, identity validation and cleanup ordering	PASS	falsification
A6-041	265504f6	main:R35CadenceHost::IssueIfDue:ordering	main	R35CadenceHost::IssueIfDue	request-lifecycle	ordering	reviewed host loop state transition, identity validation and cleanup ordering	PASS	architecture
A6-042	265504f6	main:R35CadenceHost::WaitForPresented:ordering	main	R35CadenceHost::WaitForPresented	bounded-wait	ordering	reviewed host loop state transition, identity validation and cleanup ordering	PASS	cross-trace
A6-043	265504f6	main:R35CadenceHost::Publish:ordering	main	R35CadenceHost::Publish	ipc-atomicity	ordering	reviewed host loop state transition, identity validation and cleanup ordering	PASS	falsification
A6-044	265504f6	main:SESSION_STATE_STOPPING:ordering	main	SESSION_STATE_STOPPING	session-lifecycle	ordering	reviewed host loop state transition, identity validation and cleanup ordering	PASS	architecture
A6-045	265504f6	main:pendingReferenceSpaceChange:ordering	main	pendingReferenceSpaceChange	space-transition	ordering	reviewed host loop state transition, identity validation and cleanup ordering	PASS	cross-trace
A6-046	265504f6	main:frame-loop-locate:ordering	main	frame-loop-locate	space-consistency	ordering	reviewed host loop state transition, identity validation and cleanup ordering	PASS	falsification
A6-047	265504f6	main:client-PID-handoff:ordering	main	client-PID-handoff	process-ownership	ordering	reviewed host loop state transition, identity validation and cleanup ordering	PASS	architecture
A6-048	265504f6	main:shutdown:ordering	main	shutdown	teardown-order	ordering	reviewed host loop state transition, identity validation and cleanup ordering	PASS	cross-trace
A6-049	265504f6	main:catch-cleanup:ordering	main	catch-cleanup	failure-teardown	ordering	reviewed host loop state transition, identity validation and cleanup ordering	PASS	falsification
A6-050	265504f6	r26:InvalidateFallbackAnchor:failure	r26	InvalidateFallbackAnchor	anchor-state	failure	reviewed recenter wrapper ordering/state guards and fail-closed returns	PASS	architecture
A6-051	265504f6	r26:QueueApplicationRecenter:failure	r26	QueueApplicationRecenter	recenter-state	failure	reviewed recenter wrapper ordering/state guards and fail-closed returns	PASS	cross-trace
A6-052	265504f6	r26:ApplicationRecenterAppliedForPendingGameRequest:failure	r26	ApplicationRecenterAppliedForPendingGameRequest	generation-gate	failure	reviewed recenter wrapper ordering/state guards and fail-closed returns	PASS	falsification
A6-053	265504f6	r26:ApplyPendingApplicationRecenter:failure	r26	ApplyPendingApplicationRecenter	space-lifetime	failure	reviewed recenter wrapper ordering/state guards and fail-closed returns	PASS	architecture
A6-054	265504f6	r26:EnsureFallbackAnchor:failure	r26	EnsureFallbackAnchor	fallback-lifetime	failure	reviewed recenter wrapper ordering/state guards and fail-closed returns	PASS	cross-trace
A6-055	265504f6	r26:TrySubmitAnchoredStartupFallback:failure	r26	TrySubmitAnchoredStartupFallback	fallback-ownership	failure	reviewed recenter wrapper ordering/state guards and fail-closed returns	PASS	falsification
A6-056	265504f6	r26:WriteSyntheticLocalChange:failure	r26	WriteSyntheticLocalChange	event-state	failure	reviewed recenter wrapper ordering/state guards and fail-closed returns	PASS	architecture
A6-057	265504f6	r26:PollEvent:failure	r26	PollEvent	event-lifecycle	failure	reviewed recenter wrapper ordering/state guards and fail-closed returns	PASS	cross-trace
A6-058	265504f6	r26:IncomingPath:failure	r26	IncomingPath	submission-classification	failure	reviewed recenter wrapper ordering/state guards and fail-closed returns	PASS	falsification
A6-059	265504f6	r26:CompletePendingGameRequestAfterVisibleProjection:failure	r26	CompletePendingGameRequestAfterVisibleProjection	request-completion	failure	reviewed recenter wrapper ordering/state guards and fail-closed returns	PASS	architecture
A6-060	265504f6	r26:EndFrame:failure	r26	EndFrame	submission-lifecycle	failure	reviewed recenter wrapper ordering/state guards and fail-closed returns	PASS	cross-trace
A6-061	265504f6	r32:ReleasePending:failure	r32	ReleasePending	query-lifetime	failure	reviewed generation-aware EVENT ACK state, safe fallback and teardown	PASS	falsification
A6-062	265504f6	r32:ObserveGeneration:failure	r32	ObserveGeneration	generation-state	failure	reviewed generation-aware EVENT ACK state, safe fallback and teardown	PASS	architecture
A6-063	265504f6	r32:EnsureFence:failure	r32	EnsureFence	query-creation	failure	reviewed generation-aware EVENT ACK state, safe fallback and teardown	PASS	cross-trace
A6-064	265504f6	r32:PollCompletedAcks:failure	r32	PollCompletedAcks	ack-lifetime	failure	reviewed generation-aware EVENT ACK state, safe fallback and teardown	PASS	falsification
