unit_id	target_sha	dependency_identity	file/path	function-or-code-path	review_lens	hypothesis/category	concrete_evidence	disposition	type
B3-001	265504f6ea28c5e97908e450a460661ed5ad37f1	r32_direct_submit.hpp@572cc883	vrhost/src/runtime/r32_direct_submit.hpp	PollCompletedAcks	frame-pacing/synchronization	polling may force GPU flush every frame	GetData uses DONOTFLUSH; S_FALSE defers ACK	FALSIFIED	falsification
B3-002	265504f6ea28c5e97908e450a460661ed5ad37f1	r32_direct_submit.hpp@572cc883	vrhost/src/runtime/r32_direct_submit.hpp	ArmConsumptionFence	frame-pacing/slot-pressure	producer-slot pressure always flushes	Flush only after pending survives polling	FALSIFIED	cross-trace
B3-003	265504f6ea28c5e97908e450a460661ed5ad37f1	r32_direct_submit.hpp@572cc883	vrhost/src/runtime/r32_direct_submit.hpp	ArmConsumptionFence/same-frame reuse	frame delivery	repeated frame duplicates synchronous fallback	pending EVENT reused for same frame/generation	FALSIFIED	falsification
B3-004	265504f6ea28c5e97908e450a460661ed5ad37f1	r32_direct_submit.hpp@572cc883	vrhost/src/runtime/r32_direct_submit.hpp	EnsureFence	query allocation	EVENT allocated per frame	query cached per ring slot	FALSIFIED	new coverage
B3-005	265504f6ea28c5e97908e450a460661ed5ad37f1	r32_direct_submit.hpp@572cc883	vrhost/src/runtime/r32_direct_submit.hpp	CanFastSubmit	direct-GPU vs fallback cost	stale/non-direct projection can fast-submit	requires fresh verified DirectGpu complete projection	FALSIFIED	cross-trace
B3-006	265504f6ea28c5e97908e450a460661ed5ad37f1	r32_direct_submit.hpp@572cc883	vrhost/src/runtime/r32_direct_submit.hpp	MetadataValid	eye sizing/runtime sizing	monitor dimensions silently define eye size	matches frame backbuffer; XR eye-size equivalence not proven here	NEEDS_CROSS_TRACE	new coverage
B3-007	265504f6ea28c5e97908e450a460661ed5ad37f1	r32_direct_submit.hpp@572cc883	vrhost/src/runtime/r32_direct_submit.hpp	MaybeLogPerf	diagnostic overhead	telemetry emits per frame	rate-limited to 5-second windows	FALSIFIED	falsification
B3-008	265504f6ea28c5e97908e450a460661ed5ad37f1	r32_direct_submit.hpp@572cc883	vrhost/src/runtime/r32_direct_submit.hpp	CapturePerfSnapshot	performance observability	fallback cost cannot be separated	snapshot tracks fast/ACK/flush/SafeEye counters	FALSIFIED	new coverage
B3-009	265504f6ea28c5e97908e450a460661ed5ad37f1	bounded_swapchain_wait.hpp@2aa5c119	vrhost/src/runtime/bounded_swapchain_wait.hpp	WaitSwapchainImage	OpenXR frame timing	XR_INFINITE_DURATION can wedge forever	wrapper slices 20ms with 250ms total budget	FALSIFIED	falsification
B3-010	265504f6ea28c5e97908e450a460661ed5ad37f1	bounded_swapchain_wait.hpp@2aa5c119	vrhost/src/runtime/bounded_swapchain_wait.hpp	WaitSwapchainImage/finite-timeout	OpenXR frame timing	wrapper alters finite timeout	finite timeout forwarded unchanged	FALSIFIED	falsification
B3-011	265504f6ea28c5e97908e450a460661ed5ad37f1	sbs_capture_override.hpp@1be09ed2	vrhost/src/runtime/sbs_capture_override.hpp	PublishProductionCapture	copy-count/fallback	fallback requires duplicate Desktop Duplication acquisition	reuses production texture then one CopyResource	FALSIFIED	falsification
B3-012	265504f6ea28c5e97908e450a460661ed5ad37f1	sbs_capture_override.hpp@1be09ed2	vrhost/src/runtime/sbs_capture_override.hpp	RenderProjectionOverride	draw-amplification	fallback performs hidden world redraw	two fullscreen blits, not game-world rerender	FALSIFIED	cross-trace
B3-013	265504f6ea28c5e97908e450a460661ed5ad37f1	d3d9ex_direct_passthrough.hpp@513d310a	vrhost/src/runtime/d3d9ex_direct_passthrough.hpp	RenderSafeProjection	fallback-presentation-cost	SafeEye presentation free after copy	two RenderTo draws plus immediate-context Flush	CONFIRMED	new coverage
B3-014	265504f6ea28c5e97908e450a460661ed5ad37f1	sbs_capture_override.hpp@1be09ed2	vrhost/src/runtime/sbs_capture_override.hpp	Acquire	OpenXR-wait-routing	all infinite waits necessarily bounded	source spells infinite wait; forced-include routing required cross-trace	NEEDS_CROSS_TRACE	falsification
B3-015	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r30.cpp@a03910c3	src/vr/d3d9/stereo_renderer_r30.cpp	R30ApplyStereoSkyGlow/effectiveTwoStep	SkyGlowFactor=1 doubles blur bandwidth	two-step gated by factor>1	FALSIFIED	falsification
B3-016	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r30.cpp@a03910c3	src/vr/d3d9/stereo_renderer_r30.cpp	R30ApplyStereoSkyGlow/compositeSource	SkyGlow ping-pong	vertical blur output discarded	temp selected only after successful vertical pass	FALSIFIED	falsification
B3-017	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r30.cpp@a03910c3	src/vr/d3d9/stereo_renderer_r30.cpp	R30ApplyStereoSkyGlow/state restore	state restoration	post-process leaks RT/depth/viewport	state block plus explicit RT/depth/viewport restore	FALSIFIED	cross-trace
B3-018	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r30.cpp@a03910c3	src/vr/d3d9/stereo_renderer_r30.cpp	R30MaybeLogTelemetry	diagnostic-overhead	telemetry formats every Present	5-second rate limit	FALSIFIED	falsification
B3-019	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r30.cpp@a03910c3	src/vr/d3d9/stereo_renderer_r30.cpp	R30HudAspectCompensation	eye-sizing/HUD	HUD aspect monitor-only	runtime recommended eye dimensions preferred	FALSIFIED	cross-trace
B3-020	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r34.cpp@9819bbc4	src/vr/d3d9/stereo_renderer_r34.cpp	R34GuardStereoRasterState	per-draw state guard	guard performance-neutral	eligible draw flushes resync and constructs replay scope	CONFIRMED	new coverage
B3-021	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r30.cpp@a03910c3	src/vr/d3d9/stereo_renderer_r30.cpp	R30MergeValidRange	shadow-range	overlap ranges can remain fragmented	merge consumes ranges whose begin <= merged.end	FALSIFIED	falsification
B3-022	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r30.cpp@a03910c3	src/vr/d3d9/stereo_renderer_r30.cpp	R30RangeValid	shadow-range	partial coverage treated valid	requires one range covering begin..end	FALSIFIED	falsification
B3-023	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r30.cpp@a03910c3	src/vr/d3d9/stereo_renderer_r30.cpp	R30EnsureVertexShadow	shadow-memory	oversized VB allocates unbounded CPU shadow	rejects desc.Size >16MiB	FALSIFIED	falsification
B3-024	265504f6ea28c5e97908e450a460661ed5ad37f1	stereo_renderer_r30.cpp@a03910c3	src/vr/d3d9/stereo_renderer_r30.cpp	R30EnsureIndexShadow	shadow-memory	unsupported index format enters conversion	accepts INDEX16/INDEX32 only	FALSIFIED	falsification
