unit	path/objective	lens	result
1	hooks_graphics near-plane candidate boundary	control	PASS carry-forward identity unchanged
2	runtime_eligibility single authority	state	PASS identity+source reviewed
3	ex_device_upgrade device discovery	lifetime	PASS carry-forward
4	ex_device_upgrade CreateDevice upgrade	lifetime	PASS source reviewed
5	ex_device_upgrade R13 fallback	fallback	PASS carry-forward
6	ex_device_upgrade R14 reset ownership	reset	PASS carry-forward
7	ex_device_upgrade R15 install boundary	startup	PASS carry-forward
8	helper Ex probe	fallback	PASS carry-forward
9	r13 bridge ownership	lifetime	PASS carry-forward
10	r32 policy transition	state	PASS CP10
11	IPC cadence ownership	sync	PASS carry-forward
12	direct ACK ABI	sync	PASS source reviewed
13	host pose freshness	state	PASS carry-forward
14	host state reader consistency	sync	PASS carry-forward
15	protocol generation contract	IPC	PASS source reviewed
16	protocol v3 compatibility	IPC	PASS carry-forward
17	protocol smoke surface	testability	PASS carry-forward
18	recenter request ownership	IPC	PASS source reviewed
19	legacy shadow compatibility	IPC	PASS carry-forward
20	frame source ownership	lifetime	PASS CP20
21	host legacy/current comparison	lifecycle	PASS carry-forward
22	main_r23 session/swapchain owner	OpenXR	PASS source reviewed
23	host shader lifetime	lifetime	PASS carry-forward
24	diagnostic fallback ownership	fallback	PASS carry-forward
25	host build architecture	testability	PASS carry-forward
26	settings transition ownership	config	PASS carry-forward
27	HUD semantic A/B boundary	ownership	PASS carry-forward
28	shader fingerprint stability	state	PASS carry-forward
29	VR-STARTUP-WHITE-001 stable key	regression	PASS reused
30	Superpowers verification gate	policy	PASS CP30
31	RuntimeEligibility HostStaleMs shared freshness constant	state	PASS one authority
32	InstallState Pending default semantics	state	PASS fail-closed
33	InstallState Ready acquire read	sync	PASS
34	InstallState Failed acquire read	sync	PASS
35	HostFresh default false	state	PASS fail-closed
36	HostRenderable default false	state	PASS fail-closed
37	StereoAllowed default false	state	PASS fail-closed
38	RecoveryPending default true	state	PASS fail-closed
39	RecoveryPoseWarmup default false	state	PASS
40	ExternalSafetyBlock default false	state	PASS CP40
41	SetExternalSafetyBlock blocks stereo	state	PASS
42	SetExternalSafetyBlock arms recovery	state	PASS
43	SetExternalSafetyBlock clears warmup	state	PASS
44	SafetyOverlayReady default false	startup	PASS
45	FailClosed clears HostFresh	failure	PASS
46	FailClosed clears HostRenderable	failure	PASS
47	FailClosed clears StereoAllowed	failure	PASS
48	FailClosed sets RecoveryPending	failure	PASS
49	FailClosed clears warmup	failure	PASS
50	MarkSafetyOverlayUnavailable ordering	failure	PASS CP50
51	MarkSafetyOverlayInstalled calls FailClosed first	startup	PASS
52	MarkSafetyOverlayInstalled publishes ready after close	sync	PASS release ordering
53	ObserveFreshHost does not reopen stereo	state	PASS
54	ObserveSoftHostSuspend preserves source eligibility intent	state	PASS host remains submit authority
55	ArmRecovery requires overlay ready	adversarial	PASS reject otherwise
56	ArmRecovery requires fresh host	adversarial	PASS reject stale
57	ArmRecovery requires renderable host	adversarial	PASS reject nonrenderable
58	ArmRecovery rejects external safety block	adversarial	PASS
59	ArmRecovery requires pending recovery	adversarial	PASS
60	PoseWarmup requires warmup bit	adversarial	PASS CP60
61	PoseWarmup rejects already StereoAllowed	adversarial	PASS
62	BaselineVerified rejects overlay-not-ready	adversarial	PASS
63	BaselineVerified rejects stale host	adversarial	PASS
64	BaselineVerified rejects nonrenderable host	adversarial	PASS
65	BaselineVerified rejects safety block	adversarial	PASS
66	BaselineVerified clears warmup before open	state	PASS
67	BaselineVerified clears RecoveryPending	state	PASS
68	BaselineVerified opens StereoAllowed last	state	PASS
69	MayInject requires overlay ready	adversarial	PASS
70	MayInject requires HostFresh	adversarial	PASS CP70
