unit	kind	source_unit	target	identity_validation	evidence	result
A11-001	CARRY_FORWARD	A6-001	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-001 evidence retained after regression-gate reload	PASS
A11-002	CARRY_FORWARD	A6-002	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-002 evidence retained after regression-gate reload	PASS
A11-003	CARRY_FORWARD	A6-003	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-003 evidence retained after regression-gate reload	PASS
A11-004	CARRY_FORWARD	A6-004	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-004 evidence retained after regression-gate reload	PASS
A11-005	CARRY_FORWARD	A6-005	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-005 evidence retained after regression-gate reload	PASS
A11-006	CARRY_FORWARD	A6-006	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-006 evidence retained after regression-gate reload	PASS
A11-007	CARRY_FORWARD	A6-007	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-007 evidence retained after regression-gate reload	PASS
A11-008	CARRY_FORWARD	A6-008	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-008 evidence retained after regression-gate reload	PASS
A11-009	CARRY_FORWARD	A6-009	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-009 evidence retained after regression-gate reload	PASS
A11-010	CARRY_FORWARD	A6-010	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-010 evidence retained after regression-gate reload	PASS
A11-011	CARRY_FORWARD	A6-011	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-011 evidence retained after regression-gate reload	PASS
A11-012	CARRY_FORWARD	A6-012	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-012 evidence retained after regression-gate reload	PASS
A11-013	CARRY_FORWARD	A6-013	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-013 evidence retained after regression-gate reload	PASS
A11-014	CARRY_FORWARD	A6-014	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-014 evidence retained after regression-gate reload	PASS
A11-015	CARRY_FORWARD	A6-015	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-015 evidence retained after regression-gate reload	PASS
A11-016	CARRY_FORWARD	A6-016	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-016 evidence retained after regression-gate reload	PASS
A11-017	CARRY_FORWARD	A6-017	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-017 evidence retained after regression-gate reload	PASS
A11-018	CARRY_FORWARD	A6-018	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-018 evidence retained after regression-gate reload	PASS
A11-019	CARRY_FORWARD	A6-019	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-019 evidence retained after regression-gate reload	PASS
A11-020	CARRY_FORWARD	A6-020	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-020 evidence retained after regression-gate reload	PASS
A11-021	CARRY_FORWARD	A6-021	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-021 evidence retained after regression-gate reload	PASS
A11-022	CARRY_FORWARD	A6-022	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-022 evidence retained after regression-gate reload	PASS
A11-023	CARRY_FORWARD	A6-023	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-023 evidence retained after regression-gate reload	PASS
A11-024	CARRY_FORWARD	A6-024	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-024 evidence retained after regression-gate reload	PASS
A11-025	CARRY_FORWARD	A6-025	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-025 evidence retained after regression-gate reload	PASS
A11-026	CARRY_FORWARD	A6-026	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-026 evidence retained after regression-gate reload	PASS
A11-027	CARRY_FORWARD	A6-027	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-027 evidence retained after regression-gate reload	PASS
A11-028	CARRY_FORWARD	A6-028	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-028 evidence retained after regression-gate reload	PASS
A11-029	CARRY_FORWARD	A6-029	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-029 evidence retained after regression-gate reload	PASS
A11-030	CARRY_FORWARD	A6-030	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-030 evidence retained after regression-gate reload	PASS
A11-031	CARRY_FORWARD	A6-031	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-031 evidence retained after regression-gate reload	PASS
A11-032	CARRY_FORWARD	A6-032	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-032 evidence retained after regression-gate reload	PASS
A11-033	CARRY_FORWARD	A6-033	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-033 evidence retained after regression-gate reload	PASS
A11-034	CARRY_FORWARD	A6-034	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-034 evidence retained after regression-gate reload	PASS
A11-035	CARRY_FORWARD	A6-035	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-035 evidence retained after regression-gate reload	PASS
A11-036	CARRY_FORWARD	A6-036	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-036 evidence retained after regression-gate reload	PASS
A11-037	CARRY_FORWARD	A6-037	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-037 evidence retained after regression-gate reload	PASS
A11-038	CARRY_FORWARD	A6-038	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-038 evidence retained after regression-gate reload	PASS
A11-039	CARRY_FORWARD	A6-039	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-039 evidence retained after regression-gate reload	PASS
A11-040	CARRY_FORWARD	A6-040	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-040 evidence retained after regression-gate reload	PASS
A11-041	CARRY_FORWARD	A6-041	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-041 evidence retained after regression-gate reload	PASS
A11-042	CARRY_FORWARD	A6-042	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-042 evidence retained after regression-gate reload	PASS
A11-043	CARRY_FORWARD	A6-043	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-043 evidence retained after regression-gate reload	PASS
A11-044	CARRY_FORWARD	A6-044	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-044 evidence retained after regression-gate reload	PASS
A11-045	CARRY_FORWARD	A6-045	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-045 evidence retained after regression-gate reload	PASS
A11-046	CARRY_FORWARD	A6-046	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-046 evidence retained after regression-gate reload	PASS
A11-047	CARRY_FORWARD	A6-047	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-047 evidence retained after regression-gate reload	PASS
A11-048	CARRY_FORWARD	A6-048	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-048 evidence retained after regression-gate reload	PASS
A11-049	CARRY_FORWARD	A6-049	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-049 evidence retained after regression-gate reload	PASS
A11-050	CARRY_FORWARD	A6-050	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-050 evidence retained after regression-gate reload	PASS
A11-051	CARRY_FORWARD	A6-051	3de2e34c	integration HEAD unchanged from A10; source/dependency identity retained	A6-051 evidence retained after regression-gate reload	PASS
