unit	carried_from	target_sha	content_identity	regression_case	risk_match	trigger_status	evidence	result	type
A8-001	A6-001	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-001	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	TRIGGERED_REVALIDATION	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	cross-trace
A8-002	A6-002	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-002	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	TRIGGERED_REVALIDATION	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	falsification
A8-003	A6-003	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-003	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	TRIGGERED_REVALIDATION	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	architecture
A8-004	A6-004	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-004	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	TRIGGERED_REVALIDATION	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	cross-trace
A8-005	A6-005	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-005	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	TRIGGERED_REVALIDATION	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	falsification
A8-006	A6-006	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-006	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	TRIGGERED_REVALIDATION	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	architecture
A8-007	A6-007	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-007	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	TRIGGERED_REVALIDATION	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	cross-trace
A8-008	A6-008	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-008	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	TRIGGERED_REVALIDATION	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	falsification
A8-009	A6-009	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-009	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	TRIGGERED_REVALIDATION	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	architecture
A8-010	A6-010	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-010	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	TRIGGERED_REVALIDATION	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	cross-trace
