index	source	korean	status
0	Video Settings	비디오 설정	reviewed
1	Ok	확인	reviewed
2	Cancel	취소	reviewed
3	Play	플레이	reviewed
4	Reset To Defaults	기본값으로 초기화	reviewed
5	Adapter	어댑터	reviewed
6	Resolution	해상도	reviewed
7	Anti-Aliasing	안티앨리어싱	reviewed
8	Fogging	안개 효과	reviewed
9	Quality Level	품질 수준	reviewed
10	Windowed	창 모드	reviewed
11	English (US)	English (US)	reviewed
12	English	English	reviewed
13	Français	Français	reviewed
14	Italiano	Italiano	reviewed
15	Deutsch	Deutsch	reviewed
16	Español	Español	reviewed
17	On	켜기	reviewed
18	Off	끄기	reviewed
19	Outrun2006 : Coast 2 Coast - Configuration	OutRun 2006: Coast 2 Coast - 환경 설정	reviewed
20	Video Settings	비디오 설정	reviewed
21	None	없음	reviewed
22	End of text marker	End of text marker	reviewed
