unit_id	source	target	evidence	regression	disposition
B11-001	B10-001	5cd00a69	B10-001 identity revalidated; candidate only touches FixZBufferPrecision hunk	VR-STARTUP-WHITE-001	CARRIED_IDENTITY_VALIDATED
B11-002	B10-002	5cd00a69	B10-002 identity revalidated; candidate only touches FixZBufferPrecision hunk	VR-STARTUP-WHITE-001	CARRIED_IDENTITY_VALIDATED
B11-003	B10-003	5cd00a69	B10-003 identity revalidated; candidate only touches FixZBufferPrecision hunk	VR-STARTUP-WHITE-001	CARRIED_IDENTITY_VALIDATED
B11-004	B10-004	5cd00a69	B10-004 identity revalidated; candidate only touches FixZBufferPrecision hunk	VR-STARTUP-WHITE-001	CARRIED_IDENTITY_VALIDATED
B11-005	B10-005	5cd00a69	B10-005 identity revalidated; candidate only touches FixZBufferPrecision hunk	VR-STARTUP-WHITE-001	CARRIED_IDENTITY_VALIDATED
B11-006	B10-006	5cd00a69	B10-006 identity revalidated; candidate only touches FixZBufferPrecision hunk	VR-STARTUP-WHITE-001	CARRIED_IDENTITY_VALIDATED
B11-007	B10-007	5cd00a69	B10-007 identity revalidated; candidate only touches FixZBufferPrecision hunk	VR-STARTUP-WHITE-001	CARRIED_IDENTITY_VALIDATED
B11-008	B10-008	5cd00a69	B10-008 identity revalidated; candidate only touches FixZBufferPrecision hunk	VR-STARTUP-WHITE-001	CARRIED_IDENTITY_VALIDATED
B11-009	B10-009	5cd00a69	B10-009 identity revalidated; candidate only touches FixZBufferPrecision hunk	VR-STARTUP-WHITE-001	CARRIED_IDENTITY_VALIDATED
B11-010	B10-010	5cd00a69	B10-010 identity revalidated; candidate only touches FixZBufferPrecision hunk	VR-STARTUP-WHITE-001	CARRIED_IDENTITY_VALIDATED
B11-011	B10-011	5cd00a69	B10-011 identity revalidated; candidate only touches FixZBufferPrecision hunk	VR-STARTUP-WHITE-001	CARRIED_IDENTITY_VALIDATED
B11-012	B10-012	5cd00a69	B10-012 identity revalidated; candidate only touches FixZBufferPrecision hunk	VR-STARTUP-WHITE-001	CARRIED_IDENTITY_VALIDATED
B11-013	B10-013	5cd00a69	B10-013 identity revalidated; candidate only touches FixZBufferPrecision hunk	VR-STARTUP-WHITE-001	CARRIED_IDENTITY_VALIDATED
B11-014	B10-014	5cd00a69	B10-014 identity revalidated; candidate only touches FixZBufferPrecision hunk	VR-STARTUP-WHITE-001	CARRIED_IDENTITY_VALIDATED
B11-015	B10-015	5cd00a69	B10-015 identity revalidated; candidate only touches FixZBufferPrecision hunk	VR-STARTUP-WHITE-001	CARRIED_IDENTITY_VALIDATED
B11-016	B10-016	5cd00a69	B10-016 identity revalidated; candidate only touches FixZBufferPrecision hunk	VR-STARTUP-WHITE-001	CARRIED_IDENTITY_VALIDATED
B11-017	B10-017	5cd00a69	B10-017 identity revalidated; candidate only touches FixZBufferPrecision hunk	VR-STARTUP-WHITE-001	CARRIED_IDENTITY_VALIDATED
B11-018	B10-018	5cd00a69	B10-018 identity revalidated; candidate only touches FixZBufferPrecision hunk	VR-STARTUP-WHITE-001	CARRIED_IDENTITY_VALIDATED
B11-019	B10-019	5cd00a69	B10-019 identity revalidated; candidate only touches FixZBufferPrecision hunk	VR-STARTUP-WHITE-001	CARRIED_IDENTITY_VALIDATED
B11-020	B10-020	5cd00a69	B10-020 identity revalidated; candidate only touches FixZBufferPrecision hunk	VR-STARTUP-WHITE-001	CARRIED_IDENTITY_VALIDATED
