unit_id	target_sha	dependency_identity	file_path	function_or_code_path	review_lens	hypothesis_category	hypothesis	concrete_evidence	disposition	type	regression_case_keys
A-RERUN-001	c4dd697e2b1f33d3b8af6ab254f378a1cc421248	cf86323432ccb73c024ee450b6266e7cd353ee3d	CMakeLists.txt	SafeDraw default owner selection	architecture_lifetime	ownership_state_invariant	Confirm configured ownership for SafeDraw default owner selection; only one compiled stereo/renderer owner may be authoritative.	blob=cf86323432ccb73c024ee450b6266e7cd353ee3d; line=100; anchor=option(OUTRUN_VR_SAFE_DRAW_COMPARE ... ON); target=c4dd697e2b1f33d3b8af6ab254f378a1cc421248; reviewed as fresh objective	NO_NEW_DEFECT	FRESH_REVIEW	
A-RERUN-002	c4dd697e2b1f33d3b8af6ab254f378a1cc421248	cf86323432ccb73c024ee450b6266e7cd353ee3d	CMakeLists.txt	SafeDraw default owner selection	cross_subsystem_trace	upstream_downstream_trace	Trace SafeDraw default owner selection from CMake option resolution into the compiled R26/R23 safe-draw ownership graph and excluded comparison overlays.	blob=cf86323432ccb73c024ee450b6266e7cd353ee3d; line=100; anchor=option(OUTRUN_VR_SAFE_DRAW_COMPARE ... ON); target=c4dd697e2b1f33d3b8af6ab254f378a1cc421248; reviewed as fresh objective	TRACE_VALIDATED	FRESH_REVIEW	
A-RERUN-003	c4dd697e2b1f33d3b8af6ab254f378a1cc421248	cf86323432ccb73c024ee450b6266e7cd353ee3d	CMakeLists.txt	SafeDraw default owner selection	adversarial_falsification	failure_order_falsification	Falsify duplicate-owner or inactive-overlay-as-active assumptions around SafeDraw default owner selection; the configure-time owner assertion/default option is the contrary evidence.	blob=cf86323432ccb73c024ee450b6266e7cd353ee3d; line=100; anchor=option(OUTRUN_VR_SAFE_DRAW_COMPARE ... ON); target=c4dd697e2b1f33d3b8af6ab254f378a1cc421248; reviewed as fresh objective	FALSIFIED_NO_NEW_DEFECT	FRESH_REVIEW	
A-RERUN-004	c4dd697e2b1f33d3b8af6ab254f378a1cc421248	cf86323432ccb73c024ee450b6266e7cd353ee3d	CMakeLists.txt	Single stereo owner assertion	architecture_lifetime	ownership_state_invariant	Confirm configured ownership for Single stereo owner assertion; only one compiled stereo/renderer owner may be authoritative.	blob=cf86323432ccb73c024ee450b6266e7cd353ee3d; line=222; anchor=VR final graph must have exactly one stereo owner; target=c4dd697e2b1f33d3b8af6ab254f378a1cc421248; reviewed as fresh objective	NO_NEW_DEFECT	FRESH_REVIEW	
A-RERUN-005	c4dd697e2b1f33d3b8af6ab254f378a1cc421248	cf86323432ccb73c024ee450b6266e7cd353ee3d	CMakeLists.txt	Single stereo owner assertion	cross_subsystem_trace	upstream_downstream_trace	Trace Single stereo owner assertion from CMake option resolution into the compiled R26/R23 safe-draw ownership graph and excluded comparison overlays.	blob=cf86323432ccb73c024ee450b6266e7cd353ee3d; line=222; anchor=VR final graph must have exactly one stereo owner; target=c4dd697e2b1f33d3b8af6ab254f378a1cc421248; reviewed as fresh objective	TRACE_VALIDATED	FRESH_REVIEW	
A-RERUN-006	c4dd697e2b1f33d3b8af6ab254f378a1cc421248	cf86323432ccb73c024ee450b6266e7cd353ee3d	CMakeLists.txt	Single stereo owner assertion	adversarial_falsification	failure_order_falsification	Falsify duplicate-owner or inactive-overlay-as-active assumptions around Single stereo owner assertion; the configure-time owner assertion/default option is the contrary evidence.	blob=cf86323432ccb73c024ee450b6266e7cd353ee3d; line=222; anchor=VR final graph must have exactly one stereo owner; target=c4dd697e2b1f33d3b8af6ab254f378a1cc421248; reviewed as fresh objective	FALSIFIED_NO_NEW_DEFECT	FRESH_REVIEW	
A-RERUN-007	c4dd697e2b1f33d3b8af6ab254f378a1cc421248	c53667eebe7b2ea7c555e3007a10d00afd5bf6f9	src/vr/runtime_eligibility.hpp	SetExternalSafetyBlock	architecture_lifetime	ownership_state_invariant	Check SetExternalSafetyBlock as a state-machine transition: no single freshness/safety event may reopen stereo without the remaining eligibility authorities.	blob=c53667eebe7b2ea7c555e3007a10d00afd5bf6f9; line=46; anchor=SetExternalSafetyBlock(bool blocked); target=c4dd697e2b1f33d3b8af6ab254f378a1cc421248; reviewed as fresh objective	NO_NEW_DEFECT	FRESH_REVIEW	VR-STARTUP-WHITE-001
A-RERUN-008	c4dd697e2b1f33d3b8af6ab254f378a1cc421248	c53667eebe7b2ea7c555e3007a10d00afd5bf6f9	src/vr/runtime_eligibility.hpp	SetExternalSafetyBlock	cross_subsystem_trace	upstream_downstream_trace	Trace SetExternalSafetyBlock through RuntimeEligibility into R20-R23 draw/Present gates and renderer WVP injection.	blob=c53667eebe7b2ea7c555e3007a10d00afd5bf6f9; line=46; anchor=SetExternalSafetyBlock(bool blocked); target=c4dd697e2b1f33d3b8af6ab254f378a1cc421248; reviewed as fresh objective	TRACE_VALIDATED	FRESH_REVIEW	VR-STARTUP-WHITE-001
A-RERUN-009	c4dd697e2b1f33d3b8af6ab254f378a1cc421248	c53667eebe7b2ea7c555e3007a10d00afd5bf6f9	src/vr/runtime_eligibility.hpp	SetExternalSafetyBlock	adversarial_falsification	failure_order_falsification	Adversarially reorder stale-host, recovery, safety-overlay and external-reset events around SetExternalSafetyBlock; eligibility must remain fail-closed until all predicates agree.	blob=c53667eebe7b2ea7c555e3007a10d00afd5bf6f9; line=46; anchor=SetExternalSafetyBlock(bool blocked); target=c4dd697e2b1f33d3b8af6ab254f378a1cc421248; reviewed as fresh objective	FALSIFIED_NO_NEW_DEFECT	FRESH_REVIEW	VR-STARTUP-WHITE-001
A-RERUN-010	c4dd697e2b1f33d3b8af6ab254f378a1cc421248	c53667eebe7b2ea7c555e3007a10d00afd5bf6f9	src/vr/runtime_eligibility.hpp	FailClosed	architecture_lifetime	ownership_state_invariant	Check FailClosed as a state-machine transition: no single freshness/safety event may reopen stereo without the remaining eligibility authorities.	blob=c53667eebe7b2ea7c555e3007a10d00afd5bf6f9; line=62; anchor=FailClosed() clears freshness/renderability/stereo and sets recovery pending; target=c4dd697e2b1f33d3b8af6ab254f378a1cc421248; reviewed as fresh objective	EVIDENCE_AUGMENT	FRESH_REVIEW	VR-STARTUP-WHITE-001
A-RERUN-011	c4dd697e2b1f33d3b8af6ab254f378a1cc421248	c53667eebe7b2ea7c555e3007a10d00afd5bf6f9	src/vr/runtime_eligibility.hpp	FailClosed	cross_subsystem_trace	upstream_downstream_trace	Trace FailClosed through RuntimeEligibility into R20-R23 draw/Present gates and renderer WVP injection.	blob=c53667eebe7b2ea7c555e3007a10d00afd5bf6f9; line=62; anchor=FailClosed() clears freshness/renderability/stereo and sets recovery pending; target=c4dd697e2b1f33d3b8af6ab254f378a1cc421248; reviewed as fresh objective	TRACE_VALIDATED	FRESH_REVIEW	VR-STARTUP-WHITE-001
A-RERUN-012	c4dd697e2b1f33d3b8af6ab254f378a1cc421248	c53667eebe7b2ea7c555e3007a10d00afd5bf6f9	src/vr/runtime_eligibility.hpp	FailClosed	adversarial_falsification	failure_order_falsification	Adversarially reorder stale-host, recovery, safety-overlay and external-reset events around FailClosed; eligibility must remain fail-closed until all predicates agree.	blob=c53667eebe7b2ea7c555e3007a10d00afd5bf6f9; line=62; anchor=FailClosed() clears freshness/renderability/stereo and sets recovery pending; target=c4dd697e2b1f33d3b8af6ab254f378a1cc421248; reviewed as fresh objective	FALSIFIED_NO_NEW_DEFECT	FRESH_REVIEW	VR-STARTUP-WHITE-001
A-RERUN-013	c4dd697e2b1f33d3b8af6ab254f378a1cc421248	c53667eebe7b2ea7c555e3007a10d00afd5bf6f9	src/vr/runtime_eligibility.hpp	MarkSafetyOverlayInstalled	architecture_lifetime	ownership_state_invariant	Check MarkSafetyOverlayInstalled as a state-machine transition: no single freshness/safety event may reopen stereo without the remaining eligibility authorities.	blob=c53667eebe7b2ea7c555e3007a10d00afd5bf6f9; line=77; anchor=MarkSafetyOverlayInstalled() calls FailClosed before SafetyOverlayReady=true; target=c4dd697e2b1f33d3b8af6ab254f378a1cc421248; reviewed as fresh objective	EVIDENCE_AUGMENT	FRESH_REVIEW	VR-STARTUP-WHITE-001
A-RERUN-014	c4dd697e2b1f33d3b8af6ab254f378a1cc421248	c53667eebe7b2ea7c555e3007a10d00afd5bf6f9	src/vr/runtime_eligibility.hpp	MarkSafetyOverlayInstalled	cross_subsystem_trace	upstream_downstream_trace	Trace MarkSafetyOverlayInstalled through RuntimeEligibility into R20-R23 draw/Present gates and renderer WVP injection.	blob=c53667eebe7b2ea7c555e3007a10d00afd5bf6f9; line=77; anchor=MarkSafetyOverlayInstalled() calls FailClosed before SafetyOverlayReady=true; target=c4dd697e2b1f33d3b8af6ab254f378a1cc421248; reviewed as fresh objective	TRACE_VALIDATED	FRESH_REVIEW	VR-STARTUP-WHITE-001
A-RERUN-015	c4dd697e2b1f33d3b8af6ab254f378a1cc421248	c53667eebe7b2ea7c555e3007a10d00afd5bf6f9	src/vr/runtime_eligibility.hpp	MarkSafetyOverlayInstalled	adversarial_falsification	failure_order_falsification	Adversarially reorder stale-host, recovery, safety-overlay and external-reset events around MarkSafetyOverlayInstalled; eligibility must remain fail-closed until all predicates agree.	blob=c53667eebe7b2ea7c555e3007a10d00afd5bf6f9; line=77; anchor=MarkSafetyOverlayInstalled() calls FailClosed before SafetyOverlayReady=true; target=c4dd697e2b1f33d3b8af6ab254f378a1cc421248; reviewed as fresh objective	FALSIFIED_NO_NEW_DEFECT	FRESH_REVIEW	VR-STARTUP-WHITE-001
