unit	fresh	path	objective	kind	evidence	result
B18-001	1	vrhost/src/runtime/r32_direct_submit.hpp::EndFrame	Observe newest generation before ACK polling	cross	ReadFresh+MetadataValid precede PollCompletedAcks	PASS
B18-002	1	vrhost/src/runtime/r32_direct_submit.hpp::EndFrame	Fast path submits incoming projection once	cross	CanFastSubmit+ArmConsumptionFence then FinalTest::EndFrame	PASS
B18-003	1	vrhost/src/runtime/r32_direct_submit.hpp::EndFrame	Reject path preserves fallback	falsify	failed eligibility routes R26RecenterHardening::EndFrame	PASS
B18-004	1	vrhost/src/runtime/r32_direct_submit.hpp::EndFrame	Perf logging bounded cadence	perf	MaybeLogPerf called once per end-frame path	PASS
B18-005	1	vrhost/src/runtime/r32_direct_submit.hpp::EndFrame	Recenter completion requires visible submit	falsify	CompletePendingGameRequestAfterVisibleProjection only if submitted	PASS
B18-006	1	vrhost/src/runtime/r32_direct_submit.hpp::PollCompletedAcks	Nonblocking query polling	perf	GetData uses D3D11_ASYNC_GETDATA_DONOTFLUSH	PASS
B18-007	1	vrhost/src/runtime/r32_direct_submit.hpp::PollCompletedAcks	Query failure cannot early-ACK producer	falsify	FAILED sets AckFaultGeneration and drops pending without publish	PASS
B18-008	1	vrhost/src/runtime/r32_direct_submit.hpp::PollCompletedAcks	Old generation completion cannot rollback ACK	cross	completedGeneration mismatch clears pending without PublishCompletedFrame	PASS
B18-009	1	vrhost/src/runtime/r32_direct_submit.hpp::PollCompletedAcks	Publish failure retains retry state	falsify	PublishCompletedFrame false increments retry and continues armed	PASS
B18-010	1	vrhost/src/runtime/r32_direct_submit.hpp::PollCompletedAcks	Completed ACK records slot identity	cross	AckedFrame/AckedGeneration updated after publish	PASS
B18-011	1	vrhost/src/runtime/r32_direct_submit.hpp::ArmConsumptionFence	Already ACKed frame avoids duplicate EVENT	perf	matching AckedGeneration+AckedFrame returns true	PASS
B18-012	1	vrhost/src/runtime/r32_direct_submit.hpp::ArmConsumptionFence	Same pending frame reuse avoids fallback	perf	matching pending frame/generation returns true	PASS
B18-013	1	vrhost/src/runtime/r32_direct_submit.hpp::ArmConsumptionFence	Flush only under slot pressure	falsify	Flush occurs only pending.armed after PollCompletedAcks	PASS
B18-014	1	vrhost/src/runtime/r32_direct_submit.hpp::ArmConsumptionFence	Busy slot fails closed	falsify	still armed after deferred flush returns false	PASS
B18-015	1	vrhost/src/runtime/r32_direct_submit.hpp::ArmConsumptionFence	EVENT placed after sampling commands	cross	Context->End arms fence immediately before submission path returns	PASS
B18-016	1	vrhost/src/runtime/r32_direct_submit.hpp::CanFastSubmit	Null end info rejected	falsify	NoEndInfo explicit reason	PASS
B18-017	1	vrhost/src/runtime/r32_direct_submit.hpp::CanFastSubmit	Pending focus recenter rejected	cross	PendingFocusRecenter gate precedes bundle use	PASS
B18-018	1	vrhost/src/runtime/r32_direct_submit.hpp::CanFastSubmit	Nonprojection layer rejected	visual	HasIncomingNonProjectionLayer gate	PASS
B18-019	1	vrhost/src/runtime/r32_direct_submit.hpp::CanFastSubmit	Stale verified bundle rejected	falsify	ReadFresh required	PASS
B18-020	1	vrhost/src/runtime/r32_direct_submit.hpp::CanFastSubmit	Only DirectGPU source accepted	cross	SourceKind::DirectGpu required	PASS
B18-021	1	vrhost/src/runtime/r32_direct_submit.hpp::CanFastSubmit	Incomplete stereo frame rejected	visual	FrameComplete required	PASS
B18-022	1	vrhost/src/runtime/r32_direct_submit.hpp::CanFastSubmit	Malformed metadata rejected	falsify	MetadataValid required	PASS
B18-023	1	vrhost/src/runtime/r32_direct_submit.hpp::CanFastSubmit	Projection identity mismatch rejected	visual	ProjectionMatchesSnapshot required	PASS
B18-024	1	vrhost/src/runtime/r32_direct_submit.hpp::CanFastSubmit	Disabled transport rejected	falsify	DirectTransportRequested required	PASS
B18-025	1	vrhost/src/runtime/r32_direct_submit.hpp::CanFastSubmit	Faulted generation rejected	cross	AckFaultGeneration match rejects	PASS
B18-026	1	vrhost/src/runtime/r32_direct_submit.hpp::MetadataValid	Ring slot bounds validated	falsify	slot < Pending.size required	PASS
B18-027	1	vrhost/src/runtime/r32_direct_submit.hpp::MetadataValid	Generation zero rejected	falsify	generation != 0 required	PASS
B18-028	1	vrhost/src/runtime/r32_direct_submit.hpp::MetadataValid	Zero eye dimensions rejected	visual	width/height nonzero required	PASS
B18-029	1	vrhost/src/runtime/r32_direct_submit.hpp::MetadataValid	Declared dimensions bind backbuffer identity	cross	width/height equal frame.backbufferWidth/Height	PASS
B18-030	1	vrhost/src/runtime/r32_direct_submit.hpp::MetadataValid	Unknown format rejected	visual	ExpectedDeclaredFormat != UNKNOWN	PASS
B18-031	1	vrhost/src/runtime/r32_direct_submit.hpp::ObserveGeneration	Zero generation ignored	falsify	!generation early return	PASS
B18-032	1	vrhost/src/runtime/r32_direct_submit.hpp::ObserveGeneration	Same generation avoids churn	perf	ActiveAckGeneration equality early return	PASS
B18-033	1	vrhost/src/runtime/r32_direct_submit.hpp::ObserveGeneration	Generation change clears cached ACKs	cross	AckedFrame/AckedGeneration fill zero	PASS
B18-034	1	vrhost/src/runtime/r32_direct_submit.hpp::EnsureFence	Invalid slot rejected	falsify	slot >= Pending.size returns false	PASS
B18-035	1	vrhost/src/runtime/r32_direct_submit.hpp::EnsureFence	Fence allocation cached	perf	existing pending.fence returns true	PASS
B18-036	1	vrhost/src/runtime/r32_direct_submit.hpp::ReleasePending	Queries released on session teardown	cross	Release each fence and clear pending	PASS
B18-037	1	vrhost/src/runtime/r32_direct_submit.hpp::ReleasePending	ACK identity cleared on teardown	falsify	Acked arrays and generations reset	PASS
B18-038	1	vrhost/src/runtime/r32_direct_submit.hpp::DestroySession	Direct caches reset with session	cross	ReleasePending+R32ResetDirectCaches before downstream destroy	PASS
B18-039	1	vrhost/src/runtime/r32_direct_submit.hpp::MaybeLogPerf	Five-second telemetry cadence	perf	now-LastPerfLogMs <5000 returns	PASS
