u	f	c	p	e
1	1	c	.github/workflows/vr-dx9ex-active.yml	R51vsHEAD:17;protected-boundary
2	1	a	.github/workflows/vr-dx9ex-active.yml	R51vsHEAD:17;protected-boundary
3	1	p	.github/workflows/vr-dx9ex-active.yml	R51vsHEAD:17;protected-boundary
4	1	r	.github/workflows/vr-dx9ex-active.yml	R51vsHEAD:17;protected-boundary
5	1	p	.github/workflows/vr-dx9ex-active.yml	R51vsHEAD:17;protected-boundary
6	1	c	src/hooks_graphics.cpp	R51vsHEAD:41;protected-boundary
7	1	a	src/hooks_graphics.cpp	R51vsHEAD:41;protected-boundary
8	1	p	src/hooks_graphics.cpp	R51vsHEAD:41;protected-boundary
9	1	r	src/hooks_graphics.cpp	R51vsHEAD:41;protected-boundary
10	1	p	src/hooks_graphics.cpp	R51vsHEAD:41;protected-boundary
11	1	c	src/hooks_textures.cpp	R51vsHEAD:26;protected-boundary
12	1	a	src/hooks_textures.cpp	R51vsHEAD:26;protected-boundary
13	1	p	src/hooks_textures.cpp	R51vsHEAD:26;protected-boundary
14	1	r	src/hooks_textures.cpp	R51vsHEAD:26;protected-boundary
15	1	p	src/hooks_textures.cpp	R51vsHEAD:26;protected-boundary
16	1	c	src/hooks_uiscaling.cpp	R51vsHEAD:103;protected-boundary
17	1	a	src/hooks_uiscaling.cpp	R51vsHEAD:103;protected-boundary
18	1	p	src/hooks_uiscaling.cpp	R51vsHEAD:103;protected-boundary
19	1	r	src/hooks_uiscaling.cpp	R51vsHEAD:103;protected-boundary
20	1	p	src/hooks_uiscaling.cpp	R51vsHEAD:103;protected-boundary
21	1	c	src/vr/d3d9/ex_device_upgrade.cpp	R51vsHEAD:48;protected-boundary
22	1	a	src/vr/d3d9/ex_device_upgrade.cpp	R51vsHEAD:48;protected-boundary
23	1	p	src/vr/d3d9/ex_device_upgrade.cpp	R51vsHEAD:48;protected-boundary
24	1	r	src/vr/d3d9/ex_device_upgrade.cpp	R51vsHEAD:48;protected-boundary
25	1	p	src/vr/d3d9/ex_device_upgrade.cpp	R51vsHEAD:48;protected-boundary
26	1	c	src/vr/d3d9/stereo_renderer_r26.cpp	R51vsHEAD:76;protected-boundary
27	1	a	src/vr/d3d9/stereo_renderer_r26.cpp	R51vsHEAD:76;protected-boundary
28	1	p	src/vr/d3d9/stereo_renderer_r26.cpp	R51vsHEAD:76;protected-boundary
29	1	r	src/vr/d3d9/stereo_renderer_r26.cpp	R51vsHEAD:76;protected-boundary
