unit	fresh	category	path	objective	evidence	verdict
B22-001	1	cross	r32:ResolveDirectTransportR32	R32 overlay-disabled delegation	stereo_renderer_r32.cpp: ResolveDirectTransportR32 delegates to R13 when overlay not ready	PASS
B22-002	1	adversarial	r32:ResolveDirectTransportR32	zero frame rejection	!frameId returns false before publication state	PASS
B22-003	1	path	r32:ResolveDirectTransportR32	resource prerequisite	R32EnsureDirectResources and eye surfaces required	PASS
B22-004	1	cross	r32:ResolveDirectTransportR32	identity regeneration ordering	Ensure resources precedes cached rejection so generation change can clear rejection	PASS
B22-005	1	adversarial	r32:ResolveDirectTransportR32	cached rejection fail-closed	R32DirectCopyPathRejected returns false	PASS
B22-006	1	path	r32:slot-selection	frame-to-slot mapping	(frameId-1)%RenderFrameRingSize bounds slot	PASS
B22-007	1	cross	r32:producer-fence	pending fence drain before reuse	R32DrainPendingProducerFence gates slot reuse	PASS
B22-008	1	adversarial	r32:producer-fence	S_FALSE quarantine	pending EVENT S_FALSE blocks reuse and increments backpressure	PASS
B22-009	1	adversarial	r32:producer-fence	query error semantics	query error quarantines DirectGPU; does not infer completion	PASS
B22-010	1	path	r32:consumer-ack	prior frame occupancy	slot.frameId triggers exact per-slot ACK check	PASS
B22-011	1	cross	r32:consumer-ack	ACK mapping identity	R13ReadGpuCompletedFrame validates hostPid and transportGeneration	PASS
B22-012	1	adversarial	r32:consumer-ack	missing ACK	invalid ACK blocks reuse and increments R13SafeAckBackpressure	PASS
B22-013	1	adversarial	r32:consumer-ack	stale ACK	FrameIdAtOrAfter required before overwrite	PASS
B22-014	1	path	r32:left-copy	left StretchRect ordering	left eye copy executes before right copy	PASS
B22-015	1	path	r32:right-copy	right copy dependency	right copy only attempted after successful left copy	PASS
B22-016	1	adversarial	r32:copy-failure	left failure quarantine	failed left copy sets R32DirectCopyPathRejected	PASS
B22-017	1	adversarial	r32:copy-failure	right failure quarantine	failed right copy sets rejection with exact HRESULT	PASS
B22-018	1	path	r32:event-issue	EVENT after copies	fence Issue(D3DISSUE_END) follows both StretchRect commands	PASS
B22-019	1	adversarial	r32:event-issue	Issue failure quarantine	EVENT issue failure rejects DirectGPU because completion cannot be proven	PASS
B22-020	1	cross	r32:event-issue	producer pending identity	R32ProducerFencePending and R32ProducerPendingFrame set before wait	PASS
B22-021	1	path	r32:wait	bounded producer wait	R32WaitProducerFence decides whether resolve can proceed	PASS
B22-022	1	adversarial	r32:wait	timeout path	failed wait returns false before base publication bridge	PASS
B22-023	1	path	r32:wait-success	private pending clear	success clears R32 private pending markers	PASS
B22-024	1	cross	r32:bridge	base producerPending bridge	slot.producerPending=true restores base post-Present contract	PASS
B22-025	1	cross	r32:bridge	base pendingFrameId bridge	slot.pendingFrameId=frameId matches base publication identity	PASS
B22-026	1	path	r32:bridge	frame identity assignment	slot.frameId=frameId before ActiveDirectTransportSlot	PASS
B22-027	1	adversarial	r32:bridge	pre-Present visibility guard	slot.published=false prevents host-visible publication before Present	PASS
B22-028	1	cross	r32:bridge	active slot handoff	ActiveDirectTransportSlot set only after bridge state complete	PASS
B22-029	1	path	r7:FrameReadyAfterPresent	active slot bounds	invalid ActiveDirectTransportSlot rejects publication	PASS
B22-030	1	adversarial	r7:FrameReadyAfterPresent	zero frame	frameId zero rejects publication	PASS
B22-031	1	cross	r7:FrameReadyAfterPresent	frame identity equality	slot.frameId must equal pending frame	PASS
B22-032	1	cross	r7:FrameReadyAfterPresent	pending identity equality	slot.pendingFrameId must equal pending frame	PASS
B22-033	1	adversarial	r7:FrameReadyAfterPresent	missing fence	missing slot fence rejects publication	PASS
B22-034	1	performance	r7:FrameReadyAfterPresent	post-Present wait budget	WaitForEventQuery grace is 1 ms after Present	PASS
B22-035	1	cross	r7:FrameReadyAfterPresent	Present flush ordering	publication wait occurs only after real Present returns	PASS
B22-036	1	path	r7:FrameReadyAfterPresent	success clears producer pending	producerPending false after fence completion	PASS
B22-037	1	path	r7:FrameReadyAfterPresent	success clears pending id	pendingFrameId zeroed after completion	PASS
B22-038	1	cross	r7:FrameReadyAfterPresent	publication ownership	published becomes true only in post-Present success path	PASS
B22-039	1	adversarial	r7:FrameReadyAfterPresent	timeout counter	failed bounded wait increments DirectTransportFenceTimeouts	PASS
B22-040	1	adversarial	r7:FrameReadyAfterPresent	S_FALSE quarantine	S_FALSE retains pending/frame identity and remains unpublished	PASS
B22-041	1	adversarial	r7:FrameReadyAfterPresent	query error cleanup	non-S_FALSE clears producer/pending/frame/published	PASS
B22-042	1	cross	r7:PresentDest	direct resolve precondition	ResolveDirectTransport only attempted for stereoFrameEligible and host-ready	PASS
B22-043	1	path	r7:PresentDest	pending frame allocation	NextStereoFrameId only when stereo requested	PASS
B22-044	1	cross	r7:PresentDest	world draw eligibility	FrameHadWorldStereo and duplicated draw required	PASS
B22-045	1	adversarial	r7:PresentDest	right-eye failure gate	FrameRightDrawFailed excludes stereo frame	PASS
B22-046	1	adversarial	r7:PresentDest	incomplete frame gate	FrameStereoIncomplete excludes transport	PASS
B22-047	1	cross	r7:PresentDest	pose metadata gate	pose sequence and valid stereo metadata required	PASS
B22-048	1	path	r7:PresentDest	resource gate	EnsureStereoResources is final frame eligibility prerequisite	PASS
B22-049	1	performance	r7:PresentDest	direct-only miss behavior	miss uses hold instead of blocking/fallback compose	PASS
B22-050	1	cross	r7:PresentDest	SBS fallback separation	SBS compose only when direct-only is disabled	PASS
B22-051	1	path	r7:PresentDest	pre-Present metadata rule	direct transport does not PublishRenderFrame before Present	PASS
B22-052	1	cross	r7:PresentDest	classic correlation marker	non-direct stereo publishes in-flight marker pre-Present	PASS
B22-053	1	path	r7:PresentDest	real Present boundary	PresentHook is executed before DirectTransportFrameReadyAfterPresent	PASS
B22-054	1	adversarial	r7:PresentDest	failed Present	failed Present prevents direct publication	PASS
B22-055	1	cross	r7:PresentDest	post-Present direct validation	DirectTransportFrameReadyAfterPresent exact frame gates success	PASS
B22-056	1	performance	r7:PresentDest	direct success accounting	DirectTransportFrames increments only after post-Present readiness	PASS
B22-057	1	adversarial	r7:PresentDest	direct readiness miss	miss clears directTransport/composedStereo and enters hold	PASS
B22-058	1	cross	r7:PresentDest	final stereo state gate	composedStereo+Present success+complete frame required	PASS
B22-059	1	cross	r7:PresentDest	final render-frame direct flag	PublishRenderFrame receives directTransport only after readiness success	PASS
B22-060	1	adversarial	r7:PresentDest	failure fallback state	failed composed path publishes fallback/disabled unless valid direct-only hold	PASS
B22-061	1	performance	r7:PresentDest	last-safe projection reuse	direct-only transient miss preserves prior valid metadata	PASS
B22-062	1	path	r7:PresentDest	frame state reset	per-Present stereo flags reset after NotifyGamePresent	PASS
B22-063	1	path	r7:NextStereoFrameId	zero avoidance	frame counter skips zero on wrap	PASS
B22-064	1	cross	r7:PublishStereoState	active state identity	active state requires nonzero pose and frame IDs	PASS
B22-065	1	adversarial	r7:PublishStereoState	invalid identity fallback	zero pose/frame clears active state instead of advertising stereo	PASS
B22-066	1	cross	r7:PublishStereoState	publication ordering	client frame index written last after MemoryBarrier	PASS
B22-067	1	path	r7:PublishRenderFrame	ring slot identity	frameId maps to render frame ring slot deterministically	PASS
B22-068	1	cross	r7:PublishRenderFrame	direct handle gate	direct handles copied only if active transport slot frameId matches frameId	PASS
B22-069	1	adversarial	r7:PublishRenderFrame	mismatched transport frame	mismatch omits DirectGpuTransport flag/handles	PASS
B22-070	1	cross	r7:PublishRenderFrame	direct size identity	direct transport width/height used only when direct resources are valid	PASS
B22-071	1	path	r7:PublishRenderFrame	complete stereo gate	complete eye metadata requires !presentInFlight, active state, valid stereo, nonzero frame	PASS
B22-072	1	adversarial	r7:PublishRenderFrame	in-flight metadata exclusion	pre-Present marker cannot carry complete eye metadata	PASS
B22-073	1	cross	r7:PublishRenderFrame	build identity	game build tag is embedded in frame metadata	PASS
B22-074	1	cross	r7:PublishRenderFrame	cadence identity	active cadence request ID persisted in frame reserved field	PASS
B22-075	1	path	r7:PublishRenderFrame	seqlock write	frame sequence enters odd state before mutation and even after	PASS
B22-076	1	path	r7:PublishRenderFrame	ring publication seqlock	ring publish sequence protects latest slot update	PASS
B22-077	1	cross	r13:R13ReadGpuCompletedFrame	ACK slot bounds	out-of-range slot fails closed	PASS
B22-078	1	cross	r13:R13EnsureAckState	mapping schema validation	magic/version/structSize checked before use	PASS
B22-079	1	adversarial	r13:R13EnsureAckState	bad mapping schema	bad mapping is unmapped/closed and rejected	PASS
B22-080	1	cross	r13:R13ReadGpuCompletedFrame	ACK seqlock	before/after sequence must match and be even	PASS
B22-081	1	adversarial	r13:R13ReadGpuCompletedFrame	torn ACK snapshot	odd/changing sequence retries then fails closed	PASS
B22-082	1	cross	r13:R13ReadGpuCompletedFrame	host PID identity	ACK hostPid must match SharedState hostPid	PASS
B22-083	1	cross	r13:R13ReadGpuCompletedFrame	generation identity	ACK transportGeneration must equal DirectTransportGeneration	PASS
B22-084	1	path	r13:R13ReadGpuCompletedFrame	per-slot completion	completedFrameId indexed by exact slot	PASS
B22-085	1	cross	r13:ResolveDirectTransportR13	free-slot scan	R13 scans all ring slots rather than assuming frame modulo slot	PASS
B22-086	1	performance	r13:ResolveDirectTransportR13	ring pressure	busy slots are skipped instead of blocking game thread	PASS
B22-087	1	adversarial	r13:ResolveDirectTransportR13	pending fence error	query error clears unusable pending state	PASS
B22-088	1	cross	r13:ResolveDirectTransportR13	unpublished completion reclaim	completed unpublished producer frame can be reclaimed without host ACK	PASS
B22-089	1	adversarial	r13:ResolveDirectTransportR13	published frame immutability	published frame remains blocked without exact GPU completion ACK	PASS
B22-090	1	path	r13:ResolveDirectTransportR13	ACK release	valid ACK clears frameId and published before reuse	PASS
B22-091	1	performance	r13:ResolveDirectTransportR13	full ring backpressure	no free slot returns false and increments backpressure	PASS
B22-092	1	path	r13:ResolveDirectTransportR13	copy sequence	left/right copies and EVENT issue happen under InternalPassScope	PASS
B22-093	1	cross	r13:ResolveDirectTransportR13	base contract producer pending	producerPending set after successful copies/event	PASS
B22-094	1	cross	r13:ResolveDirectTransportR13	base contract pending identity	pendingFrameId assigned exact frame	PASS
B22-095	1	adversarial	r13:ResolveDirectTransportR13	pre-publication state	published=false before Present	PASS
B22-096	1	path	r13:ResolveDirectTransportR13	actual selected slot handoff	ActiveDirectTransportSlot uses scanned selected slot	PASS
B22-097	1	cross	r32:R32ResetAfterGameReset	reset mono-safety epoch	mono safety rearmed after R22 reset lifecycle	PASS
B22-098	1	path	r32:R32InvalidateResetCaches	direct identity reset	R32ForgetDirectIdentity invalidates transport identity	PASS
