unit_id	target_sha	dependency_identity	file/path	function-or-code-path	review_lens	hypothesis/category	concrete_evidence	disposition	type
A3-101	73f3b59ba21f4ecd2b18fb99bbed937b90fa32f0	57ba4400:r14	src/vr/d3d9/ex_device_upgrade_r14.cpp	R14ShadowEntry/destructor	lifetime	shadow leaks COM refs	dtor releases cpu/device and subtracts budget	PASS	new coverage
A3-102	73f3b59ba21f4ecd2b18fb99bbed937b90fa32f0	57ba4400:r14	src/vr/d3d9/ex_device_upgrade_r14.cpp	R14InternalUploadScope/destructor	lifetime	upload depth sticks nonzero	dtor decrements nonzero depth	FALSIFIED	falsification
A3-103	73f3b59ba21f4ecd2b18fb99bbed937b90fa32f0	57ba4400:r14	src/vr/d3d9/ex_device_upgrade_r14.cpp	R14Find	ownership	registry pointer escapes without lifetime	returns shared_ptr under registry mutex	PASS	cross-trace
A3-104	73f3b59ba21f4ecd2b18fb99bbed937b90fa32f0	57ba4400:r14	src/vr/d3d9/ex_device_upgrade_r14.cpp	R14Erase	lifetime	destructor runs under registry mutex	moves shared_ptr then erases; local releases after lock scope	FALSIFIED	falsification
A3-105	73f3b59ba21f4ecd2b18fb99bbed937b90fa32f0	57ba4400:r14	src/vr/d3d9/ex_device_upgrade_r14.cpp	R14DetachShadowLocked/budget	ownership	budget double-subtracted	sets shadowBytes=0 after atomic subtract	PASS	new coverage
A3-106	73f3b59ba21f4ecd2b18fb99bbed937b90fa32f0	57ba4400:r14	src/vr/d3d9/ex_device_upgrade_r14.cpp	R14DetachShadowLocked/state	state	DirectOnly retains stale masks	clears valid/dirty/locked/readOnly and rect validity	FALSIFIED	falsification
A3-107	73f3b59ba21f4ecd2b18fb99bbed937b90fa32f0	57ba4400:r14	src/vr/d3d9/ex_device_upgrade_r14.cpp	R14AdoptCompatDevice/first	ownership	first device shadows rejected	sets registry identity and returns	PASS	new coverage
A3-108	73f3b59ba21f4ecd2b18fb99bbed937b90fa32f0	57ba4400:r14	src/vr/d3d9/ex_device_upgrade_r14.cpp	R14AdoptCompatDevice/same	ownership	same device causes retirement	equality returns before snapshot	FALSIFIED	falsification
A3-109	73f3b59ba21f4ecd2b18fb99bbed937b90fa32f0	57ba4400:r14	src/vr/d3d9/ex_device_upgrade_r14.cpp	R14AdoptCompatDevice/snapshot	lifetime	locked old entries disappear	shared_ptr snapshot preserves entries	PASS	cross-trace
A3-110	73f3b59ba21f4ecd2b18fb99bbed937b90fa32f0	57ba4400:r14	src/vr/d3d9/ex_device_upgrade_r14.cpp	R14AdoptCompatDevice/allocation-failure	error-recovery	partial new generation accepted	catch keeps old registry identity authoritative	PASS	falsification
A3-111	73f3b59ba21f4ecd2b18fb99bbed937b90fa32f0	57ba4400:r14	src/vr/d3d9/ex_device_upgrade_r14.cpp	R14AdoptCompatDevice/locked-retire	lifetime	locked shadow freed during replacement	retirePending defers detach until unlock	FALSIFIED	falsification
A3-112	73f3b59ba21f4ecd2b18fb99bbed937b90fa32f0	57ba4400:r14	src/vr/d3d9/ex_device_upgrade_r14.cpp	R14AbandonCompatDevice	ownership	identity cleared with live shadows	requires R14Shadows.empty	PASS	new coverage
A3-113	73f3b59ba21f4ecd2b18fb99bbed937b90fa32f0	57ba4400:r14	src/vr/d3d9/ex_device_upgrade_r14.cpp	R14RetireShadow/locked	lifetime	locked CPU backing detached	returns false when lockedMask nonzero	FALSIFIED	falsification
A3-114	73f3b59ba21f4ecd2b18fb99bbed937b90fa32f0	57ba4400:r14	src/vr/d3d9/ex_device_upgrade_r14.cpp	R14RetireShadow/direct	state	direct-only retirement mutates entry	returns true without mutation	PASS	new coverage
A3-115	73f3b59ba21f4ecd2b18fb99bbed937b90fa32f0	57ba4400:r14	src/vr/d3d9/ex_device_upgrade_r14.cpp	R14MarkExternalGpuWrite/no-entry	control-flow	untracked write corrupts registry	returns immediately	PASS	new coverage
A3-116	73f3b59ba21f4ecd2b18fb99bbed937b90fa32f0	57ba4400:r14	src/vr/d3d9/ex_device_upgrade_r14.cpp	R14MarkExternalGpuWrite/concurrent	coherency	external write followed by stale CPU upload	sets externalWriteDuringLock+retirePending	FALSIFIED	falsification
A3-117	73f3b59ba21f4ecd2b18fb99bbed937b90fa32f0	57ba4400:r14	src/vr/d3d9/ex_device_upgrade_r14.cpp	R14MarkExternalGpuWrite/unlocked	coherency	stale shadow survives external write	detaches immediately when unlocked	PASS	cross-trace
A3-118	73f3b59ba21f4ecd2b18fb99bbed937b90fa32f0	57ba4400:r14	src/vr/d3d9/ex_device_upgrade_r14.cpp	R14EstimateShadowBytes/DXT1	bounds	compressed budget undercounts blocks	ceil4 blocks *8 bytes	PASS	new coverage
A3-119	73f3b59ba21f4ecd2b18fb99bbed937b90fa32f0	57ba4400:r14	src/vr/d3d9/ex_device_upgrade_r14.cpp	R14EstimateShadowBytes/DXT5	bounds	DXT5 budget uses DXT1 size	ceil4 blocks *16 bytes	FALSIFIED	falsification
A3-120	73f3b59ba21f4ecd2b18fb99bbed937b90fa32f0	57ba4400:r14	src/vr/d3d9/ex_device_upgrade_r14.cpp	R14EstimateShadowBytes/overflow	bounds	addition wraps budget	subtractive bound check prevents overflow	PASS	falsification
A3-121	73f3b59ba21f4ecd2b18fb99bbed937b90fa32f0	57ba4400:r14	src/vr/d3d9/ex_device_upgrade_r14.cpp	R14ReserveShadowBytes/zero	resource-lifetime	zero-byte reservation accepted	returns false for zero	FALSIFIED	falsification
A3-122	73f3b59ba21f4ecd2b18fb99bbed937b90fa32f0	57ba4400:r14	src/vr/d3d9/ex_device_upgrade_r14.cpp	R14ReserveShadowBytes/CAS	synchronization	concurrent budget exceeds cap	CAS loop rechecks current against remaining budget	PASS	cross-trace
A3-123	73f3b59ba21f4ecd2b18fb99bbed937b90fa32f0	57ba4400:r14	src/vr/d3d9/ex_device_upgrade_r14.cpp	R14Track/reserve	ownership	failed reservation leaks accounting	shadowBytes reset before entry destruction	PASS	new coverage
A3-124	73f3b59ba21f4ecd2b18fb99bbed937b90fa32f0	57ba4400:r14	src/vr/d3d9/ex_device_upgrade_r14.cpp	R14Track/device-ref	lifetime	registry stores dangling device	AddRef before insertion; entry dtor Release	FALSIFIED	falsification
A3-125	73f3b59ba21f4ecd2b18fb99bbed937b90fa32f0	57ba4400:r14	src/vr/d3d9/ex_device_upgrade_r14.cpp	R14Track/device-mismatch	ownership	mixed device generations inserted	mismatch returns false under registry lock	PASS	cross-trace
A3-126	73f3b59ba21f4ecd2b18fb99bbed937b90fa32f0	57ba4400:r14	src/vr/d3d9/ex_device_upgrade_r14.cpp	R14Track/duplicate	ownership	duplicate GPU replaces old entry	emplace failure returns false	FALSIFIED	falsification
A3-127	73f3b59ba21f4ecd2b18fb99bbed937b90fa32f0	57ba4400:r14	src/vr/d3d9/ex_device_upgrade_r14.cpp	R14Track/cpu-transfer	lifetime	caller and registry both own shadow	entry cpu assigned only after insertion succeeds	PASS	cross-trace
