unit_id	target_sha	dependency_identity	file/path	function-or-code-path	review_lens	hypothesis/category	concrete_evidence	disposition	type
B101	73f3b59b	r30@bc7eb2c1	src/vr/d3d9/stereo_renderer_r30.cpp	R30HudAspectCompensation	HUD aspect	runtime eye size ignored	recommendedWidth/Height preferred; FOV fallback only before host dimensions	FALSIFIED	new coverage
B102	73f3b59b	r30@bc7eb2c1	src/vr/d3d9/stereo_renderer_r30.cpp	R30HudContainScale	HUD clipping	ultrawide cover mapping persists	contain branch shrinks dominant axis using sourceOverTarget	FALSIFIED	falsification
B103	73f3b59b	r30@bc7eb2c1	src/vr/d3d9/stereo_renderer_r30.cpp	R30ClassifyScreenSpacePass	menu/HUD	offscreen target misclassified	TargetIsBackBuffer required before projection classification	FALSIFIED	new coverage
B104	73f3b59b	r30@bc7eb2c1	src/vr/d3d9/stereo_renderer_r30.cpp	R30ClassifyScreenSpacePass	flat effect	opaque perspective becomes HUD	Perspective3D additionally requires Z off and alpha blend/test	FALSIFIED	falsification
B105	73f3b59b	r30@bc7eb2c1	src/vr/d3d9/stereo_renderer_r30.cpp	R30BuildEyeAffine	convergence	invalid FOV accepted	finite width/scale/offset bounds reject malformed eye FOV	FALSIFIED	new coverage
B106	73f3b59b	r30@bc7eb2c1	src/vr/d3d9/stereo_renderer_r30.cpp	R30PrepareXyzrhwState	XYZRHW	shader path accidentally transformed	requires no current/live vertex shader and XYZRHW FVF	FALSIFIED	cross-trace
B107	73f3b59b	r30@bc7eb2c1	src/vr/d3d9/stereo_renderer_r30.cpp	R30XyzrhwHasProjectedDepthSignature	white rank glyph	arbitrary RHW promoted world	requires coherent projected Z/RHW for >=75% valid samples	FALSIFIED	falsification
B108	73f3b59b	r30@bc7eb2c1	src/vr/d3d9/stereo_renderer_r30.cpp	R30ConfigureXyzrhwWorldEffect	smoke/skid	Z-disabled world always HUD	coherent RHW depth evidence promotes CPU-projected world even Z off	FALSIFIED	new coverage
B109	73f3b59b	r30@bc7eb2c1	src/vr/d3d9/stereo_renderer_r30.cpp	R30ConfigureXyzrhwWorldEffect	depth sync	unsynced right depth still world stereo	bootstrap attempted then active depth/stencil rejects unsynced	FALSIFIED	cross-trace
B110	73f3b59b	r30@bc7eb2c1	src/vr/d3d9/stereo_renderer_r30.cpp	R30TransformXyzrhwVertices	behind camera	negative clipW mirrored visible	clipEye.w must be > epsilon; abs(W) explicitly avoided	FALSIFIED	falsification
B111	73f3b59b	r30@bc7eb2c1	src/vr/d3d9/stereo_renderer_r30.cpp	R30TransformXyzrhwVertices	skidded Z	out-of-range projected Z forces affine	X/Y/RHW reprojection retained while original screenZ preserved	FALSIFIED	new coverage
B112	73f3b59b	r30@bc7eb2c1	src/vr/d3d9/stereo_renderer_r30.cpp	R30TransformXyzrhwStereo	bilateral consistency	one eye full one eye affine	mismatched full flags force both eyes through affine fallback	FALSIFIED	falsification
B113	73f3b59b	r30@bc7eb2c1	src/vr/d3d9/stereo_renderer_r30.cpp	R30ExecuteXyzrhwStereo	SkyGlow/HUD	glow captures after HUD	HUD path captures completed world before first HUD draw	FALSIFIED	cross-trace
B114	73f3b59b	r30@bc7eb2c1	src/vr/d3d9/stereo_renderer_r30.cpp	R30ExecuteXyzrhwStereo	right failure	right failure leaves sync valid	failure invalidates right depth/stencil and arms mono safety	FALSIFIED	falsification
B115	73f3b59b	r30@bc7eb2c1	src/vr/d3d9/stereo_renderer_r30.cpp	R30TryXyzrhwPrimitiveUP	bounds	unbounded UP vertex allocation	vertex count capped 262144 before transform	FALSIFIED	new coverage
B116	73f3b59b	r30@bc7eb2c1	src/vr/d3d9/stereo_renderer_r30.cpp	R30TryXyzrhwIndexedPrimitiveUP	index coverage	unused vertices bias world classifier	used mask built from referenced indices and passed to classifier	FALSIFIED	cross-trace
B117	73f3b59b	r30@bc7eb2c1	src/vr/d3d9/stereo_renderer_r30.cpp	R30TryXyzrhwPrimitiveVB	GPU readback	WRITEONLY VB draw locks GPU	CPU shadow only; missing observed range fails open	FALSIFIED	new coverage
B118	73f3b59b	r30@bc7eb2c1	src/vr/d3d9/stereo_renderer_r30.cpp	R30TryXyzrhwIndexedPrimitiveVB	baseVertex	negative physical index wraps	int64 physical calculation rejects <0 and >UINT_MAX	FALSIFIED	falsification
B119	73f3b59b	r30@bc7eb2c1	src/vr/d3d9/stereo_renderer_r30.cpp	R30TryXyzrhwIndexedPrimitiveVB	index rebase	16-bit rebase truncates	local index >0xFFFF rejected before cast	FALSIFIED	falsification
B120	73f3b59b	r30@bc7eb2c1	src/vr/d3d9/stereo_renderer_r30.cpp	R30BuildScreenSpaceEyeConstants	flat overlay	flat effect head locked	finite view plane then headInverse*eyeInverse*eyeProjection world-locks overlay	FALSIFIED	cross-trace
B121	73f3b59b	r30@bc7eb2c1	src/vr/d3d9/stereo_renderer_r30.cpp	R30BuildScreenSpaceEyeConstants	HUD scale	HudScale applied to flat perspective	FlatPerspectiveEffect returns before Hud2D contain-scale branch	FALSIFIED	falsification
