unit_id	target_sha	dependency_identity	file/path	function-or-code-path	review_lens	hypothesis/category	concrete_evidence	disposition	type
B001	f03e5499	stereo_renderer_r34.cpp@7f14efc1	src/vr/d3d9/stereo_renderer_r34.cpp	R34GuardStereoRasterState	state restore	viewport/scissor bypass	R34 flushes pending resync and creates R22ReplayScope	FALSIFIED	falsification
B002	f03e5499	stereo_renderer_r34.cpp@7f14efc1	src/vr/d3d9/stereo_renderer_r34.cpp	DrawPrimitiveDestR34	XYZRHW	primitive misses R30	R30TryXyzrhwPrimitiveVB precedes R33	FALSIFIED	revalidation
B003	f03e5499	stereo_renderer_r34.cpp@7f14efc1	src/vr/d3d9/stereo_renderer_r34.cpp	DrawIndexedPrimitiveDestR34	XYZRHW	indexed misses R30	R30TryXyzrhwIndexedPrimitiveVB precedes R33	FALSIFIED	revalidation
B004	f03e5499	stereo_renderer_r34.cpp@7f14efc1	src/vr/d3d9/stereo_renderer_r34.cpp	DrawPrimitiveUPDestR34	XYZRHW	UP misses R30	R30TryXyzrhwPrimitiveUP precedes R33	FALSIFIED	revalidation
B005	f03e5499	stereo_renderer_r34.cpp@7f14efc1	src/vr/d3d9/stereo_renderer_r34.cpp	DrawIndexedPrimitiveUPDestR34	XYZRHW	indexed UP misses R30	R30TryXyzrhwIndexedPrimitiveUP precedes R33	FALSIFIED	revalidation
B006	f03e5499	stereo_renderer_r34.cpp@7f14efc1	src/vr/d3d9/stereo_renderer_r34.cpp	ResetDestR34	fallback	stale state after reset	health requires Reset and state replay success	FALSIFIED	falsification
B007	f03e5499	stereo_renderer_r34.cpp@7f14efc1	src/vr/d3d9/stereo_renderer_r34.cpp	PresentDestR34	fallback	Present clears safety block	Present reapplies fail-closed while blocked	FALSIFIED	falsification
B008	f03e5499	stereo_renderer_r34.cpp@7f14efc1	src/vr/d3d9/stereo_renderer_r34.cpp	R34InstallThread	wrapper	wrong owner	R34 hooks R33 destinations after Ready	FALSIFIED	cross-trace
B009	f03e5499	stereo_renderer_r29.cpp@a897de92	src/vr/d3d9/stereo_renderer_r29.cpp	R29StableStereoBase	classification	stereo during hazard	requires no recovery/warmup/depth/MRT/query hazard	FALSIFIED	new coverage
B010	f03e5499	stereo_renderer_r29.cpp@a897de92	src/vr/d3d9/stereo_renderer_r29.cpp	R29DirectTwoEye	duplication	third mono draw	LEFT+RIGHT callback only in steady state	FALSIFIED	new coverage
B011	f03e5499	stereo_renderer_r29.cpp@a897de92	src/vr/d3d9/stereo_renderer_r29.cpp	R29FragileEffectCached	effects	all alpha world	fragile alpha remains zero-disparity unless verified bypass	FALSIFIED	new coverage
B012	f03e5499	stereo_renderer_r29.cpp@a897de92	src/vr/d3d9/stereo_renderer_r29.cpp	R29GuardStableDraw/R27ShouldBypassLegacyZeroDisparity	billboards	fragile never world	verified-world bypass explicitly covers smoke/skid/white glyphs	FALSIFIED	cross-trace
B013	f03e5499	stereo_renderer_r29.cpp@a897de92	src/vr/d3d9/stereo_renderer_r29.cpp	R29SyncEffectState	classification	cache never refreshes	live refresh per Present or sparse 64-draw bound	FALSIFIED	falsification
B014	f03e5499	stereo_renderer_r29.cpp@a897de92	src/vr/d3d9/stereo_renderer_r29.cpp	SetRenderStateDestR29	effect state	setter stale	five relevant states refresh cache	FALSIFIED	new coverage
B015	f03e5499	stereo_renderer_r29.cpp@a897de92	src/vr/d3d9/stereo_renderer_r29.cpp	DrawPrimitiveDestR29	dispatch	policy differs	funnels through R29GuardStableDraw	FALSIFIED	cross-trace
B016	f03e5499	stereo_renderer_r29.cpp@a897de92	src/vr/d3d9/stereo_renderer_r29.cpp	DrawIndexedPrimitiveDestR29	dispatch	indexed skips classifier	funnels through common guard	FALSIFIED	cross-trace
