unit_id	target_sha	dependency_identity	file/path	function-or-code-path	review_lens	hypothesis/category	concrete_evidence	disposition	type
A4-136	9a6d502e88435ed507a314d24ae66ab41a7b0310	fear-vr@85b3af1:M2-D3D9-BRIDGE	DR-89/fear-vr:docs/M2-D3D9-BRIDGE.md -> src/vr/d3d9/ex_device_upgrade_r13.cpp	ResetCompatDevice/reset ownership	reset/lifetime	FEAR bridge releases DEFAULT resources before Reset and hooks Reset/Present; local R13 routes compat Reset through ResetEx plus classic-state replay and synchronous ownership handoff. Concept supports keeping one authoritative Reset owner; no code copy needed.	TRANSFERABLE_CONCEPT	UPSTREAM_REFERENCE
A4-137	9a6d502e88435ed507a314d24ae66ab41a7b0310	fear-vr@85b3af1:M2-D3D9-BRIDGE	DR-89/fear-vr:docs/M2-D3D9-BRIDGE.md -> src/vr/d3d9/ex_device_upgrade_r13.cpp	DisarmLegacyResetHook	ownership	FEAR documents simultaneous early proxy and late detour strategies; local design explicitly disarms temporary Reset shim before promoted device escapes. Upstream reinforces avoiding competing reset owners.	TRANSFERABLE_CONCEPT	UPSTREAM_REFERENCE
A4-138	9a6d502e88435ed507a314d24ae66ab41a7b0310	fear-vr@85b3af1:M2-D3D9-BRIDGE	DR-89/fear-vr:docs/M2-D3D9-BRIDGE.md -> src/vr/game/outrun_renderer.cpp	InstallD3D9Hooks	creation/late attach	FEAR requires late Present/Reset detours because game device predates module load; local renderer polls for Game::D3DDevice_ptr then hooks vtable 41/42/94. Technique is analogous but local polling is simpler and remains bounded to 120s.	TRANSFERABLE_CONCEPT	UPSTREAM_REFERENCE
A4-139	9a6d502e88435ed507a314d24ae66ab41a7b0310	fear-vr@85b3af1:M2-D3D9-BRIDGE	DR-89/fear-vr:docs/M2-D3D9-BRIDGE.md -> src/vr/game/outrun_renderer.cpp	EnsureSharedState/header publish	IPC ownership	FEAR validates magic/version/header/slot sizes and uses versioned Local IPC; local shared pose mapping validates magic/version/structSize and creator publishes magic last after MemoryBarrier. Same invariant; local implementation already matches.	PASS_LOCAL_EQUIVALENT	UPSTREAM_REFERENCE
A4-140	9a6d502e88435ed507a314d24ae66ab41a7b0310	fear-vr@85b3af1:M2-D3D9-BRIDGE	DR-89/fear-vr:docs/M2-D3D9-BRIDGE.md -> src/vr/game/outrun_renderer.cpp	ReadHostPose/v2 seqlock	synchronization	FEAR uses seqlock for current OpenXR render request; local v2 pose snapshot reads even sequence, copies, barriers, then requires same even sequence. Independent architecture corroboration of snapshot protocol.	PASS_LOCAL_EQUIVALENT	UPSTREAM_REFERENCE
A4-141	9a6d502e88435ed507a314d24ae66ab41a7b0310	fear-vr@85b3af1:M2-D3D9-BRIDGE	DR-89/fear-vr:docs/M2-D3D9-BRIDGE.md -> src/vr/game/outrun_renderer.cpp	ReadHostPose/host liveness	fallback/recovery	FEAR detects failed host and lets normal D3D9 Present continue fail-open; local pose path rejects HostAlive/session/shouldRender failures without redefining center or blocking rendering. Same fail-open policy.	TRANSFERABLE_CONCEPT	UPSTREAM_REFERENCE
A4-142	9a6d502e88435ed507a314d24ae66ab41a7b0310	fear-vr@85b3af1:M2-D3D9-BRIDGE	DR-89/fear-vr:docs/M2-D3D9-BRIDGE.md -> src/vr/game/outrun_renderer.cpp	WaitForNextCadenceRequest/host death	fallback/recovery	FEAR explicitly proves forced host abort leaves producer flat and running; local cadence opens host process with SYNCHRONIZE and disables pacing/clears active request when dead or stale. Runtime abort test pattern is directly transferable as verifier.	READY_VERIFIER_IDEA	UPSTREAM_REFERENCE
A4-143	9a6d502e88435ed507a314d24ae66ab41a7b0310	fear-vr@85b3af1:M2-D3D9-BRIDGE	DR-89/fear-vr:docs/M2-D3D9-BRIDGE.md -> src/vr/game/outrun_renderer.cpp	WaitForNextCadenceRequest/bounded wait	synchronization	FEAR drops frames when ring full rather than blocking game thread; local cadence intentionally waits but clamps to 5-100ms and fails open. Difference is intentional pacing policy; verifier should ensure timeout cannot accumulate into persistent stall.	TRANSFERABLE_TEST	UPSTREAM_REFERENCE
A4-144	9a6d502e88435ed507a314d24ae66ab41a7b0310	fear-vr@85b3af1:M2-D3D9-BRIDGE	DR-89/fear-vr:docs/M2-D3D9-BRIDGE.md -> vrhost/src/main.cpp	shared texture handle cache	resource lifetime	FEAR measured per-frame OpenSharedResource overhead and changed to one open per stable handle, reopening only when slot handle changes. Local host should be checked for equivalent stable-handle caching before any performance port; architecture idea is transferable, implementation not copied.	READY_REVIEW_TARGET	UPSTREAM_REFERENCE
A4-145	9a6d502e88435ed507a314d24ae66ab41a7b0310	fear-vr@85b3af1:M2-D3D9-BRIDGE	DR-89/fear-vr:docs/M2-D3D9-BRIDGE.md -> vrhost/src/main.cpp	private host copy before slot release	ownership/lifetime	FEAR copies imported shared texture to private D3D11 texture and releases producer slot only after D3D11 event query, preventing producer reuse while XR still reads. Local direct-hold/ACK lifetime should preserve equivalent ownership ordering.	READY_REVIEW_TARGET	UPSTREAM_REFERENCE
