unit	freshness	lens	file	path	verdict	evidence_objective
B21-001	fresh	semantic	src/hooks_graphics.cpp	SkyGlowAllowed	PASS	config-vs-runtime glow ownership; verify intended visual/render ownership
B21-002	fresh	cross	src/hooks_graphics.cpp	SkyGlowAllowed	PASS	config-vs-runtime glow ownership; trace upstream setting/state to downstream draw/resource effect
B21-003	fresh	falsify	src/hooks_graphics.cpp	SkyGlowAllowed	PASS	config-vs-runtime glow ownership; seek contrary state where guard/resource assumptions diverge
B21-004	fresh	perf	src/hooks_graphics.cpp	SkyGlowAllowed	PASS	config-vs-runtime glow ownership; assess draw/copy/allocation/frame-pacing cost
B21-005	fresh	recovery	src/hooks_graphics.cpp	SkyGlowAllowed	PASS	config-vs-runtime glow ownership; assess reset/mode-transition/state restoration behavior
B21-006	fresh	semantic	src/hooks_graphics.cpp	GlowInit_dest	PASS	mono glow allocation suppression; verify intended visual/render ownership
B21-007	fresh	cross	src/hooks_graphics.cpp	GlowInit_dest	PASS	mono glow allocation suppression; trace upstream setting/state to downstream draw/resource effect
B21-008	fresh	falsify	src/hooks_graphics.cpp	GlowInit_dest	PASS	mono glow allocation suppression; seek contrary state where guard/resource assumptions diverge
B21-009	fresh	perf	src/hooks_graphics.cpp	GlowInit_dest	PASS	mono glow allocation suppression; assess draw/copy/allocation/frame-pacing cost
B21-010	fresh	recovery	src/hooks_graphics.cpp	GlowInit_dest	PASS	mono glow allocation suppression; assess reset/mode-transition/state restoration behavior
B21-011	fresh	semantic	src/hooks_graphics.cpp	MakeReduceBuff_dest	PASS	mono backbuffer reduction; verify intended visual/render ownership
B21-012	fresh	cross	src/hooks_graphics.cpp	MakeReduceBuff_dest	PASS	mono backbuffer reduction; trace upstream setting/state to downstream draw/resource effect
B21-013	fresh	falsify	src/hooks_graphics.cpp	MakeReduceBuff_dest	PASS	mono backbuffer reduction; seek contrary state where guard/resource assumptions diverge
B21-014	fresh	perf	src/hooks_graphics.cpp	MakeReduceBuff_dest	PASS	mono backbuffer reduction; assess draw/copy/allocation/frame-pacing cost
B21-015	fresh	recovery	src/hooks_graphics.cpp	MakeReduceBuff_dest	PASS	mono backbuffer reduction; assess reset/mode-transition/state restoration behavior
B21-016	fresh	semantic	src/hooks_graphics.cpp	BlurGlowImage_dest	PASS	blur scaling and stereo suppression; verify intended visual/render ownership
B21-017	fresh	cross	src/hooks_graphics.cpp	BlurGlowImage_dest	PASS	blur scaling and stereo suppression; trace upstream setting/state to downstream draw/resource effect
B21-018	fresh	falsify	src/hooks_graphics.cpp	BlurGlowImage_dest	PASS	blur scaling and stereo suppression; seek contrary state where guard/resource assumptions diverge
B21-019	fresh	perf	src/hooks_graphics.cpp	BlurGlowImage_dest	PASS	blur scaling and stereo suppression; assess draw/copy/allocation/frame-pacing cost
B21-020	fresh	recovery	src/hooks_graphics.cpp	BlurGlowImage_dest	PASS	blur scaling and stereo suppression; assess reset/mode-transition/state restoration behavior
B21-021	fresh	semantic	src/hooks_graphics.cpp	GlowRelease_dest	PASS	default-pool resource release; verify intended visual/render ownership
B21-022	fresh	cross	src/hooks_graphics.cpp	GlowRelease_dest	PASS	default-pool resource release; trace upstream setting/state to downstream draw/resource effect
B21-023	fresh	falsify	src/hooks_graphics.cpp	GlowRelease_dest	PASS	default-pool resource release; seek contrary state where guard/resource assumptions diverge
B21-024	fresh	perf	src/hooks_graphics.cpp	GlowRelease_dest	PASS	default-pool resource release; assess draw/copy/allocation/frame-pacing cost
B21-025	fresh	recovery	src/hooks_graphics.cpp	GlowRelease_dest	PASS	default-pool resource release; assess reset/mode-transition/state restoration behavior
B21-026	fresh	semantic	src/hooks_graphics.cpp	RebuildGlowBuffers	PASS	runtime config rebuild; verify intended visual/render ownership
B21-027	fresh	cross	src/hooks_graphics.cpp	RebuildGlowBuffers	PASS	runtime config rebuild; trace upstream setting/state to downstream draw/resource effect
B21-028	fresh	falsify	src/hooks_graphics.cpp	RebuildGlowBuffers	PASS	runtime config rebuild; seek contrary state where guard/resource assumptions diverge
B21-029	fresh	perf	src/hooks_graphics.cpp	RebuildGlowBuffers	PASS	runtime config rebuild; assess draw/copy/allocation/frame-pacing cost
B21-030	fresh	recovery	src/hooks_graphics.cpp	RebuildGlowBuffers	PASS	runtime config rebuild; assess reset/mode-transition/state restoration behavior
B21-031	fresh	semantic	src/hooks_graphics.cpp	ClearBuffer_dest	PASS	exposure alpha seed restoration; verify intended visual/render ownership
B21-032	fresh	cross	src/hooks_graphics.cpp	ClearBuffer_dest	PASS	exposure alpha seed restoration; trace upstream setting/state to downstream draw/resource effect
