unit	fresh	category	path	evidence	verdict
B23-001	1	path	settings:VRTargetRefreshRateHz	default=0; runtime-selected refresh	PASS
B23-002	1	cross	settings:VRTargetRefreshRateHz	env propagation preserves 0	PASS
B23-003	1	adversarial	settings:VRTargetRefreshRateHz	no hardcoded refresh override	PASS
B23-004	1	performance	settings:VRTargetRefreshRateHz	XR-native cadence retained	PASS
B23-005	1	regression	settings:VRTargetRefreshRateHz	policy TargetRefreshRateHz=0	PASS
B23-006	1	path	settings:VRFrameCadenceTargetHz	default=0 XR-native	PASS
B23-007	1	cross	settings:VRFrameCadenceTargetHz	env cadence target propagates 0	PASS
B23-008	1	adversarial	settings:VRFrameCadenceTargetHz	no fixed diagnostic cadence by default	PASS
B23-009	1	performance	settings:VRFrameCadenceTargetHz	native xrWaitFrame rate retained	PASS
B23-010	1	regression	settings:VRFrameCadenceTargetHz	auto cadence invariant	PASS
B23-011	1	path	settings:VRFrameCadenceTimeoutMs	default35 range5..100	PASS
B23-012	1	cross	settings:VRFrameCadenceTimeoutMs	env timeout propagation	PASS
B23-013	1	adversarial	settings:VRFrameCadenceTimeoutMs	bounded fail-open timeout	PASS
B23-014	1	performance	settings:VRFrameCadenceTimeoutMs	wait cannot exceed configured cap	PASS
B23-015	1	regression	settings:VRFrameCadenceTimeoutMs	stall boundary explicit	PASS
B23-016	1	path	settings:VRDirectGpuOnly	default=true	PASS
B23-017	1	cross	settings:VRDirectGpuOnly	host env DIRECT_ONLY propagated	PASS
B23-018	1	adversarial	settings:VRDirectGpuOnly	classic gameplay candidate rejected	PASS
B23-019	1	performance	settings:VRDirectGpuOnly	avoids duplication gameplay path	PASS
B23-020	1	regression	settings:VRDirectGpuOnly	menu fallback remains allowed	PASS
B23-021	1	path	settings:VRTelemetry	configurable bool	PASS
B23-022	1	cross	settings:VRTelemetry	render diagnostics policy visible	PASS
B23-023	1	adversarial	settings:VRTelemetry	can disable summary diagnostics	PASS
