unit_id	target_sha	dependency_identity	file/path	function-or-code-path	review_lens	hypothesis/category	concrete_evidence	disposition	type
A5-141	a2b2e4d0168c311e8998df4dc6c012c47e855558	70d25b6f:r23-hold	vrhost/src/main_r23.cpp	R23StageDirectHold/CopyResource	ownership	private hold copy protects producer slot	D3D11 CopyResource is only queued; function marks hold valid without GPU completion proof	FINDING	post-review
A5-142	a2b2e4d0168c311e8998df4dc6c012c47e855558	70d25b6f:r23-hold	vrhost/src/main_r23.cpp	R23StageDirectHold/comment	cross-subsystem	R32 EVENT covers host D3D11 copy+projection	comment claims R32 EVENT covers copy/projection, but R32 EVENT is a D3D9 producer query in game process and cannot order host D3D11 immediate context	FINDING	falsification
A5-143	a2b2e4d0168c311e8998df4dc6c012c47e855558	301f3000:r32-producer	src/vr/d3d9/stereo_renderer_r32.cpp	ResolveDirectTransportR32/Issue	cross-subsystem	producer EVENT proves host consumption	EVENT is issued immediately after D3D9 StretchRect into shared slot, before host opens/copies resource	FINDING	cross-trace
A5-144	a2b2e4d0168c311e8998df4dc6c012c47e855558	301f3000:r32-producer	src/vr/d3d9/stereo_renderer_r32.cpp	R32WaitProducerFence	lifetime	producer wait serializes host read	GetData waits only for producer D3D9 commands; no host D3D11 query/fence participates	FINDING	falsification
A5-145	a2b2e4d0168c311e8998df4dc6c012c47e855558	513d310a:legacy-safe	vrhost/src/runtime/d3d9ex_direct_passthrough.hpp	CopySharedFrameToSafeEyes	upstream-downstream	legacy safe path lacks completion proof	legacy path CopyResource then WaitForCopyFence then PublishCompletedFrame provides the missing D3D11 completion ordering	FALSIFIED	cross-trace
A5-146	a2b2e4d0168c311e8998df4dc6c012c47e855558	513d310a:legacy-safe	vrhost/src/runtime/d3d9ex_direct_passthrough.hpp	WaitForCopyFence	architecture	D3D11 EVENT mechanism unavailable	ID3D11Query EVENT + End/Flush/GetData already exists and is bounded to 8ms	PASS	falsification
A5-147	a2b2e4d0168c311e8998df4dc6c012c47e855558	70d25b6f:r23-loop	vrhost/src/main_r23.cpp	committed-pending-render	state	commit publishes producer ACK immediately	commit path explicitly avoids legacy global ACK and defers display authority; no per-slot completion ACK is emitted here	PASS	post-review
A5-148	a2b2e4d0168c311e8998df4dc6c012c47e855558	70d25b6f:r23-loop	vrhost/src/main_r23.cpp	projection-fresh/pendingBundlePublish	ownership	projection release implies producer slot ACK	fresh projection records bootstrap submitted frame/generation but does not call PublishCompletedFrame for selected direct frame	FINDING	cross-trace
A5-149	a2b2e4d0168c311e8998df4dc6c012c47e855558	70d25b6f:r41-skip	vrhost/src/main_r23.cpp	latest-frame-wins/skipped ACK	ownership	skipped frame ACK races host sampling	skipped entries are ACKed only when not selected and comments state no D3D11 copy/draw references them; selected frame is excluded	PASS	falsification
A5-150	a2b2e4d0168c311e8998df4dc6c012c47e855558	70d25b6f+513d310a+301f3000	direct transport chain	D3D9 producer -> Frame.v2 -> R23 hold -> D3D11 projection -> DirectGpuAck	architecture	selected slot cannot be reused before host private copy completes	current selected path has no host D3D11 completion query before reusable-slot ACK semantics; legacy safe implementation demonstrates required ordering	REOPEN_CANDIDATE	post-review
