unit	fresh	path	objective	category	cross	falsification	outside_delta	evidence	verdict	regression_key
B16-001	1	src/hooks_graphics.cpp	SkyGlow VR active gate::invariant	visual	0	0	0	Inspect SkyGlow VR active gate: verify local visual/performance invariant and fail-closed behavior at integration c4dd697e.	PASS	
B16-002	1	src/hooks_graphics.cpp	SkyGlow VR active gate::cross-trace	visual	1	0	0	Trace SkyGlow VR active gate upstream/downstream across game→host/presentation boundary; check identity/state/timing propagation.	FINDING_CONFIG_POLICY_MISMATCH	
B16-003	1	src/hooks_graphics.cpp	SkyGlow VR active gate::falsification	visual	0	1	0	Adversarially falsify SkyGlow VR active gate: stale/absent/duplicate/slow-frame or fallback condition must not create wrong-eye output or unbounded frame cost.	NEEDS_D_CONFIG_CORRECTION	
B16-004	1	src/hooks_graphics.cpp	FixZBufferPrecision near-plane gate::invariant	visual	0	0	0	Inspect FixZBufferPrecision near-plane gate: verify local visual/performance invariant and fail-closed behavior at integration c4dd697e.	PASS	VR-STARTUP-WHITE-001
B16-005	1	src/hooks_graphics.cpp	FixZBufferPrecision near-plane gate::cross-trace	visual	1	0	0	Trace FixZBufferPrecision near-plane gate upstream/downstream across game→host/presentation boundary; check identity/state/timing propagation.	PASS	VR-STARTUP-WHITE-001
B16-006	1	src/hooks_graphics.cpp	FixZBufferPrecision near-plane gate::falsification	visual	0	1	0	Adversarially falsify FixZBufferPrecision near-plane gate: stale/absent/duplicate/slow-frame or fallback condition must not create wrong-eye output or unbounded frame cost.	PASS	VR-STARTUP-WHITE-001
B16-007	1	src/vr/game/render_semantics.hpp	ConsumeForDraw one-shot semantic::invariant	visual	0	0	1	Inspect ConsumeForDraw one-shot semantic: verify local visual/performance invariant and fail-closed behavior at integration c4dd697e.	PASS	
B16-008	1	src/vr/game/render_semantics.hpp	ConsumeForDraw one-shot semantic::cross-trace	visual	1	0	1	Trace ConsumeForDraw one-shot semantic upstream/downstream across game→host/presentation boundary; check identity/state/timing propagation.	PASS	
B16-009	1	src/vr/game/render_semantics.hpp	ConsumeForDraw one-shot semantic::falsification	visual	0	1	1	Adversarially falsify ConsumeForDraw one-shot semantic: stale/absent/duplicate/slow-frame or fallback condition must not create wrong-eye output or unbounded frame cost.	PASS	
B16-010	1	src/vr/game/render_semantics.hpp	ForceZeroDisparity SkyGlow::invariant	visual	0	0	1	Inspect ForceZeroDisparity SkyGlow: verify local visual/performance invariant and fail-closed behavior at integration c4dd697e.	PASS	
B16-011	1	src/vr/game/render_semantics.hpp	ForceZeroDisparity SkyGlow::cross-trace	visual	1	0	1	Trace ForceZeroDisparity SkyGlow upstream/downstream across game→host/presentation boundary; check identity/state/timing propagation.	PASS	
B16-012	1	src/vr/game/render_semantics.hpp	ForceZeroDisparity SkyGlow::falsification	visual	0	1	1	Adversarially falsify ForceZeroDisparity SkyGlow: stale/absent/duplicate/slow-frame or fallback condition must not create wrong-eye output or unbounded frame cost.	PASS	
B16-013	1	src/vr/game/render_semantics.hpp	CorroboratesWorld particle/billboard::invariant	visual	0	0	1	Inspect CorroboratesWorld particle/billboard: verify local visual/performance invariant and fail-closed behavior at integration c4dd697e.	PASS	
B16-014	1	src/vr/game/render_semantics.hpp	CorroboratesWorld particle/billboard::cross-trace	visual	1	0	1	Trace CorroboratesWorld particle/billboard upstream/downstream across game→host/presentation boundary; check identity/state/timing propagation.	PASS	
B16-015	1	src/vr/game/render_semantics.hpp	CorroboratesWorld particle/billboard::falsification	visual	0	1	1	Adversarially falsify CorroboratesWorld particle/billboard: stale/absent/duplicate/slow-frame or fallback condition must not create wrong-eye output or unbounded frame cost.	PASS	
B16-016	1	src/vr/settings.cpp	VRTargetRefreshRateHz auto-native::invariant	performance	0	0	1	Inspect VRTargetRefreshRateHz auto-native: verify local visual/performance invariant and fail-closed behavior at integration c4dd697e.	PASS	VR-STARTUP-WHITE-001
B16-017	1	src/vr/settings.cpp	VRTargetRefreshRateHz auto-native::cross-trace	performance	1	0	1	Trace VRTargetRefreshRateHz auto-native upstream/downstream across game→host/presentation boundary; check identity/state/timing propagation.	PASS	VR-STARTUP-WHITE-001
B16-018	1	src/vr/settings.cpp	VRTargetRefreshRateHz auto-native::falsification	performance	0	1	1	Adversarially falsify VRTargetRefreshRateHz auto-native: stale/absent/duplicate/slow-frame or fallback condition must not create wrong-eye output or unbounded frame cost.	PASS	VR-STARTUP-WHITE-001
B16-019	1	src/vr/settings.cpp	VRFrameCadenceMode PhaseLock::invariant	performance	0	0	1	Inspect VRFrameCadenceMode PhaseLock: verify local visual/performance invariant and fail-closed behavior at integration c4dd697e.	PASS	
B16-020	1	src/vr/settings.cpp	VRFrameCadenceMode PhaseLock::cross-trace	performance	1	0	1	Trace VRFrameCadenceMode PhaseLock upstream/downstream across game→host/presentation boundary; check identity/state/timing propagation.	PASS	
B16-021	1	src/vr/settings.cpp	VRFrameCadenceMode PhaseLock::falsification	performance	0	1	1	Adversarially falsify VRFrameCadenceMode PhaseLock: stale/absent/duplicate/slow-frame or fallback condition must not create wrong-eye output or unbounded frame cost.	PASS	
