unit	kind	source	target	evidence	result	case
A13-001	POST_REVIEW	NEW	5cd00a69	exact base 206c6c1e; hooks_graphics only +4/-1	PASS_DOMAIN_REVIEW	VR-STARTUP-WHITE-001
A13-002	CHANGESET	NEW	hooks_graphics.cpp	single runtime file; no unrelated diff	PASS	VR-STARTUP-WHITE-001
A13-003	STATE	NEW	MayInjectStereo	common stereo authority gates VR near plane	PASS	VR-STARTUP-WHITE-001
A13-004	STATE	NEW	VRStereo	explicit stereo setting required	PASS	VR-STARTUP-WHITE-001
A13-005	STATE	NEW	VRPositionalTracking	6DoF intent remains required	PASS	VR-STARTUP-WHITE-001
A13-006	FALSIFY	NEW	RecoveryPending	pending recovery closes gate	PASS	VR-STARTUP-WHITE-001
A13-007	FALSIFY	NEW	ExternalSafetyBlock	reset safety block closes gate	PASS	VR-STARTUP-WHITE-001
A13-008	FALSIFY	NEW	SafetyOverlayReady	final overlay required	PASS	VR-STARTUP-WHITE-001
A13-009	FALSIFY	NEW	HostFresh	stale host closes gate	PASS	VR-STARTUP-WHITE-001
A13-010	FALSIFY	NEW	HostRenderable	non-renderable host closes gate	PASS	VR-STARTUP-WHITE-001
A13-011	FALSIFY	NEW	StereoAllowed	verified baseline required	PASS	VR-STARTUP-WHITE-001
A13-012	TRACE	NEW	FailClosed->MayInjectStereo	stall/reset restores non-VR path	PASS	VR-STARTUP-WHITE-001
A13-013	TRACE	NEW	BaselineVerified->MayInjectStereo	fresh baseline reopens gate	PASS	VR-STARTUP-WHITE-001
A13-014	TRACE	NEW	ExternalSafetyBlock->camera	ResetEx safety reaches near-plane choice	PASS	VR-STARTUP-WHITE-001
A13-015	FALSIFY	NEW	STATE_GAME/GOAL	VR near plane limited to gameplay/goal	PASS	VR-STARTUP-WHITE-001
A13-016	FALSIFY	NEW	non-VR gameplay	legacy precision policy retained	PASS	VR-STARTUP-WHITE-001
A13-017	FALSIFY	NEW	camera switch	0.1 cutscene path retained	PASS	VR-STARTUP-WHITE-001
