unit	kind	source_unit	target	identity_validation	evidence	result	regression_case
A12-001	CARRY_FORWARD	A11-001..A11-115	206c6c1e	115 individually numbered carry-forward units expanded conceptually from A11 after compare showed only r7/r23, regression docs, and architecture verifier changed; no r7/r23-specific hypothesis promoted by carry set	A11 evidence retained under partial-invalidation rule; see A11 physical ledger for source rows	PASS	
A12-002	POST_REVIEW	NEW	234f0421	hooks_exceptions::CustomUnhandledExceptionFilter	candidate exact base 206c6c1e ahead1; only hooks_exceptions.cpp +129/-48	PASS_DOMAIN_REVIEW	VR-STARTUP-WHITE-001
A12-003	CHANGESET	NEW	234f0421	src/hooks_exceptions.cpp	single production file; no unrelated runtime/config/workflow hunks	PASS	VR-STARTUP-WHITE-001
A12-004	FAILURE_ATOMICITY	NEW	234f0421	MiniDumpWriteDump/CloseHandle	dump success requires write + handle close	PASS	VR-STARTUP-WHITE-001
A12-005	FAILURE_ATOMICITY	NEW	234f0421	Log lambda	noexcept + exact byte-count WriteFile check prevents false success	PASS	VR-STARTUP-WHITE-001
A12-006	FAILURE_ATOMICITY	NEW	234f0421	crashLogWriteSuccess	content write and CloseHandle both required	PASS	VR-STARTUP-WHITE-001
A12-007	FAILURE_ATOMICITY	NEW	234f0421	re4t snapshot	per-crash timestamp/suffix prevents prior loose evidence overwrite	PASS	VR-STARTUP-WHITE-001
A12-008	FALSIFICATION	NEW	234f0421	filesystem snapshot	error_code + catch boundary prevents filesystem exception escaping filter	PASS	VR-STARTUP-WHITE-001
A12-009	FALSIFICATION	NEW	234f0421	optional VR evidence	optional metadata/path/directory traversal isolated from primary archive	PASS	VR-STARTUP-WHITE-001
A12-010	FAILURE_ATOMICITY	NEW	234f0421	required_entries_ok	dump+crash log+tweaks snapshot required before publish	PASS	VR-STARTUP-WHITE-001
A12-011	FAILURE_ATOMICITY	NEW	234f0421	zip finalize	zip_created requires add/finalize/end/fclose success	PASS	VR-STARTUP-WHITE-001
A12-012	FALSIFICATION	NEW	234f0421	loose evidence retention	required evidence deleted only after zip_created true	PASS	VR-STARTUP-WHITE-001
A12-013	FALSIFICATION	NEW	234f0421	failed zip path	failure message preserves loose dump/log instead of claiming archive success	PASS	VR-STARTUP-WHITE-001
A12-014	REGRESSION	NEW	206c6c1e	VR-STARTUP-WHITE-001 riskPaths	hooks_exceptions.cpp intersects riskPaths but not startup/present/stereo revalidation triggers	EVIDENCE_AUGMENT	VR-STARTUP-WHITE-001
A12-015	REGRESSION	NEW	206c6c1e	startup runtime gate	runtime-visible case remains NEED_HMD_TEST; no static DONE claim	PASS	VR-STARTUP-WHITE-001
A12-016	DELTA	NEW	206c6c1e	stereo_renderer_r7::InstallStereoHooks	pre-exposure EnsureStereoResources removed by integrated protection	PASS	VR-STARTUP-WHITE-001
