unit_id	source_unit	target_sha	path	code_path	lens	evidence	regression_case	disposition
B7-001..B7-120	B3-001..B3-120	a50ee775636e5572f7976f2d1374089741b510b0	prior-ledger-exact-row	identity-carry-forward	rendering/performance	compare 265504f6..a50ee775 shows no src/vr/** or vrhost/** runtime file changes; exact prior evidence rows retained by reference	VR-STARTUP-WHITE-001	CARRIED_IDENTITY_VALIDATED
B7-121	new	a50ee775	tools/OutRunVR-TestProfiles.ps1	commonVr/PreferD3D9Ex	test-identity	PreferD3D9Ex=true retained	VR-STARTUP-WHITE-001	TRIGGER_PROTECTED
B7-122	new	a50ee775	tools/OutRunVR-TestProfiles.ps1	commonVr/TargetRefreshRateHz	frame-pacing	TargetRefreshRateHz=0 preserves runtime-selected refresh	VR-STARTUP-WHITE-001	TRIGGER_PROTECTED
B7-123	new	a50ee775	tools/OutRunVR-TestProfiles.ps1	commonVr/SkyGlowFactor	visual-policy	SkyGlowFactor=1 retained	VR-STARTUP-WHITE-001	TRIGGER_PROTECTED
B7-124	new	a50ee775	tools/OutRunVR-TestProfiles.ps1	CONTROL/FrameCadenceTargetHz	frame-pacing	CONTROL target remains 0	VR-STARTUP-WHITE-001	TRIGGER_PROTECTED
B7-125	new	a50ee775	tools/OutRunVR-TestProfiles.ps1	CORRECTNESS/FrameCadenceTargetHz	frame-pacing	CORRECTNESS target remains 0	VR-STARTUP-WHITE-001	TRIGGER_PROTECTED
B7-126	new	a50ee775	tools/OutRunVR-TestProfiles.ps1	PERFORMANCE/FrameCadenceTargetHz	frame-pacing	PERFORMANCE target remains 0	VR-STARTUP-WHITE-001	TRIGGER_PROTECTED
B7-127	new	a50ee775	tools/OutRunVR-TestProfiles.ps1	HUD_SCREEN/profile	visual-testability	HUD screen session isolates screen HUD correctness	VR-STARTUP-WHITE-001	NEW_COVERAGE
B7-128	new	a50ee775	tools/OutRunVR-TestProfiles.ps1	HUD_MENU/profile	visual-testability	menu profile avoids fast-load while retaining VR activation args	VR-STARTUP-WHITE-001	NEW_COVERAGE
B7-129	new	a50ee775	tools/OutRunVR-TestProfiles.ps1	HUD_WORLD/profile	visual-testability	world profile adds asset diagnostics and stage shortcuts	VR-STARTUP-WHITE-001	NEW_COVERAGE
B7-130	new	a50ee775	tools/OutRunVR-TestProfiles.ps1	STAGE_DIAGNOSTIC/profile	performance-testability	stage diagnostics remain opt-in and identity-tagged	VR-STARTUP-WHITE-001	NEW_COVERAGE
