unit_id	source_unit	target_sha	evidence	regression_case	disposition
B8-001	B3-001	4934e790	identity validated; exact prior evidence carried 1:1	VR-STARTUP-WHITE-001	CARRIED
B8-002	B3-002	4934e790	identity validated; exact prior evidence carried 1:1	VR-STARTUP-WHITE-001	CARRIED
B8-003	B3-003	4934e790	identity validated; exact prior evidence carried 1:1	VR-STARTUP-WHITE-001	CARRIED
B8-004	B3-004	4934e790	identity validated; exact prior evidence carried 1:1	VR-STARTUP-WHITE-001	CARRIED
B8-005	B3-005	4934e790	identity validated; exact prior evidence carried 1:1	VR-STARTUP-WHITE-001	CARRIED
B8-006	B3-006	4934e790	identity validated; exact prior evidence carried 1:1	VR-STARTUP-WHITE-001	CARRIED
B8-007	B3-007	4934e790	identity validated; exact prior evidence carried 1:1	VR-STARTUP-WHITE-001	CARRIED
B8-008	B3-008	4934e790	identity validated; exact prior evidence carried 1:1	VR-STARTUP-WHITE-001	CARRIED
B8-009	B3-009	4934e790	identity validated; exact prior evidence carried 1:1	VR-STARTUP-WHITE-001	CARRIED
B8-010	B3-010	4934e790	identity validated; exact prior evidence carried 1:1	VR-STARTUP-WHITE-001	CARRIED
B8-011	B3-011	4934e790	identity validated; exact prior evidence carried 1:1	VR-STARTUP-WHITE-001	CARRIED
B8-012	B3-012	4934e790	identity validated; exact prior evidence carried 1:1	VR-STARTUP-WHITE-001	CARRIED
B8-013	B3-013	4934e790	identity validated; exact prior evidence carried 1:1	VR-STARTUP-WHITE-001	CARRIED
B8-014	B3-014	4934e790	identity validated; exact prior evidence carried 1:1	VR-STARTUP-WHITE-001	CARRIED
B8-015	B3-015	4934e790	identity validated; exact prior evidence carried 1:1	VR-STARTUP-WHITE-001	CARRIED
B8-016	B3-016	4934e790	identity validated; exact prior evidence carried 1:1	VR-STARTUP-WHITE-001	CARRIED
B8-017	B3-017	4934e790	identity validated; exact prior evidence carried 1:1	VR-STARTUP-WHITE-001	CARRIED
B8-018	B3-018	4934e790	identity validated; exact prior evidence carried 1:1	VR-STARTUP-WHITE-001	CARRIED
B8-019	B3-019	4934e790	identity validated; exact prior evidence carried 1:1	VR-STARTUP-WHITE-001	CARRIED
B8-020	B3-020	4934e790	identity validated; exact prior evidence carried 1:1	VR-STARTUP-WHITE-001	CARRIED
B8-021	B3-021	4934e790	identity validated; exact prior evidence carried 1:1	VR-STARTUP-WHITE-001	CARRIED
B8-022	B3-022	4934e790	identity validated; exact prior evidence carried 1:1	VR-STARTUP-WHITE-001	CARRIED
B8-023	B3-023	4934e790	identity validated; exact prior evidence carried 1:1	VR-STARTUP-WHITE-001	CARRIED
B8-024	B3-024	4934e790	identity validated; exact prior evidence carried 1:1	VR-STARTUP-WHITE-001	CARRIED
B8-025	B3-025	4934e790	identity validated; exact prior evidence carried 1:1	VR-STARTUP-WHITE-001	CARRIED
B8-026	B3-026	4934e790	identity validated; exact prior evidence carried 1:1	VR-STARTUP-WHITE-001	CARRIED
B8-027	B3-027	4934e790	identity validated; exact prior evidence carried 1:1	VR-STARTUP-WHITE-001	CARRIED
B8-028	B3-028	4934e790	identity validated; exact prior evidence carried 1:1	VR-STARTUP-WHITE-001	CARRIED
B8-029	B3-029	4934e790	identity validated; exact prior evidence carried 1:1	VR-STARTUP-WHITE-001	CARRIED
B8-030	B3-030	4934e790	identity validated; exact prior evidence carried 1:1	VR-STARTUP-WHITE-001	CARRIED
B8-031	B3-031	4934e790	identity validated; exact prior evidence carried 1:1	VR-STARTUP-WHITE-001	CARRIED
B8-032	B3-032	4934e790	identity validated; exact prior evidence carried 1:1	VR-STARTUP-WHITE-001	CARRIED
B8-033	B3-033	4934e790	identity validated; exact prior evidence carried 1:1	VR-STARTUP-WHITE-001	CARRIED
B8-034	B3-034	4934e790	identity validated; exact prior evidence carried 1:1	VR-STARTUP-WHITE-001	CARRIED
B8-035	B3-035	4934e790	identity validated; exact prior evidence carried 1:1	VR-STARTUP-WHITE-001	CARRIED
B8-036	B3-036	4934e790	identity validated; exact prior evidence carried 1:1	VR-STARTUP-WHITE-001	CARRIED
B8-037	B3-037	4934e790	identity validated; exact prior evidence carried 1:1	VR-STARTUP-WHITE-001	CARRIED
B8-038	B3-038	4934e790	identity validated; exact prior evidence carried 1:1	VR-STARTUP-WHITE-001	CARRIED
B8-039	B3-039	4934e790	identity validated; exact prior evidence carried 1:1	VR-STARTUP-WHITE-001	CARRIED
B8-040	B3-040	4934e790	identity validated; exact prior evidence carried 1:1	VR-STARTUP-WHITE-001	CARRIED
B8-041	B3-041	4934e790	identity validated; exact prior evidence carried 1:1	VR-STARTUP-WHITE-001	CARRIED
B8-042	B3-042	4934e790	identity validated; exact prior evidence carried 1:1	VR-STARTUP-WHITE-001	CARRIED
B8-043	B3-043	4934e790	identity validated; exact prior evidence carried 1:1	VR-STARTUP-WHITE-001	CARRIED
B8-044	B3-044	4934e790	identity validated; exact prior evidence carried 1:1	VR-STARTUP-WHITE-001	CARRIED
B8-045	B3-045	4934e790	identity validated; exact prior evidence carried 1:1	VR-STARTUP-WHITE-001	CARRIED
B8-046	B3-046	4934e790	identity validated; exact prior evidence carried 1:1	VR-STARTUP-WHITE-001	CARRIED
B8-047	B3-047	4934e790	identity validated; exact prior evidence carried 1:1	VR-STARTUP-WHITE-001	CARRIED
B8-048	B3-048	4934e790	identity validated; exact prior evidence carried 1:1	VR-STARTUP-WHITE-001	CARRIED
B8-049	B3-049	4934e790	identity validated; exact prior evidence carried 1:1	VR-STARTUP-WHITE-001	CARRIED
B8-050	B3-050	4934e790	identity validated; exact prior evidence carried 1:1	VR-STARTUP-WHITE-001	CARRIED
B8-051	B3-051	4934e790	identity validated; exact prior evidence carried 1:1	VR-STARTUP-WHITE-001	CARRIED
B8-052	B3-052	4934e790	identity validated; exact prior evidence carried 1:1	VR-STARTUP-WHITE-001	CARRIED
B8-053	B3-053	4934e790	identity validated; exact prior evidence carried 1:1	VR-STARTUP-WHITE-001	CARRIED
B8-054	B3-054	4934e790	identity validated; exact prior evidence carried 1:1	VR-STARTUP-WHITE-001	CARRIED
