unit_id	target_sha	dependency_identity	file/path	function-or-code-path	review_lens	hypothesis/category	concrete_evidence	disposition	type
A2-001	73f3b59ba21f4ecd2b18fb99bbed937b90fa32f0	73f3b59b:r13	src/vr/d3d9/ex_device_upgrade_r13.cpp	TrackManagedTexture/null	lifetime	null texture enters tracking	null returns before cursor mutation	FALSIFIED	falsification
A2-002	73f3b59ba21f4ecd2b18fb99bbed937b90fa32f0	73f3b59b:r13	src/vr/d3d9/ex_device_upgrade_r13.cpp	TrackManagedTexture/ring-slot	ownership	tracking index escapes capacity	cursor modulo 256	PASS	new coverage
A2-003	73f3b59ba21f4ecd2b18fb99bbed937b90fa32f0	73f3b59b:r13	src/vr/d3d9/ex_device_upgrade_r13.cpp	TrackManagedTexture/release-store	synchronization	reader misses publication	store uses release	PASS	cross-trace
A2-004	73f3b59ba21f4ecd2b18fb99bbed937b90fa32f0	73f3b59b:r13	src/vr/d3d9/ex_device_upgrade_r13.cpp	IsTrackedManagedTexture/null	lifetime	null tracked	null returns false	FALSIFIED	falsification
A2-005	73f3b59ba21f4ecd2b18fb99bbed937b90fa32f0	73f3b59b:r13	src/vr/d3d9/ex_device_upgrade_r13.cpp	IsTrackedManagedTexture/acquire	synchronization	unordered read	loads use acquire	PASS	new coverage
A2-006	73f3b59ba21f4ecd2b18fb99bbed937b90fa32f0	73f3b59b:r13	src/vr/d3d9/ex_device_upgrade_r13.cpp	TextureLockRectR13/original-first	control-flow	diagnostics alter lock	original executes first	FALSIFIED	falsification
A2-007	73f3b59ba21f4ecd2b18fb99bbed937b90fa32f0	73f3b59b:r13	src/vr/d3d9/ex_device_upgrade_r13.cpp	TextureLockRectR13/untracked	control-flow	untracked policy changes	original HRESULT returned	PASS	new coverage
A2-008	73f3b59ba21f4ecd2b18fb99bbed937b90fa32f0	73f3b59b:r13	src/vr/d3d9/ex_device_upgrade_r13.cpp	TextureLockRectR13/failure	error-recovery	failure hidden	counter+error log	PASS	cross-trace
A2-009	73f3b59ba21f4ecd2b18fb99bbed937b90fa32f0	73f3b59b:r13	src/vr/d3d9/ex_device_upgrade_r13.cpp	TextureUnlockRectR13/original	control-flow	unlock rewritten	original HRESULT returned	FALSIFIED	falsification
A2-010	73f3b59ba21f4ecd2b18fb99bbed937b90fa32f0	73f3b59b:r13	src/vr/d3d9/ex_device_upgrade_r13.cpp	EnsureTextureLockInstrumentation/idempotence	lifetime	hooks reinstall	returns when both armed	PASS	new coverage
A2-011	73f3b59ba21f4ecd2b18fb99bbed937b90fa32f0	73f3b59b:r13	src/vr/d3d9/ex_device_upgrade_r13.cpp	EnsureTextureLockInstrumentation/vtable	ownership	null vtable deref	null returns	FALSIFIED	falsification
